,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
,70,19372.497591601,16580.9546496773,18466.4177445971,16850.5973285576,19316.312419241,18181.2735608841,19228.8317969388,11504.4370845206,17613.5498654006,18092.1299439686,18229.0771522384,13784.7064565221,19840.9026567791,18877.6374476881,16591.0886336658,17222.0495915109,17774.2425315062,17848.240599528,17895.6102824033,18233.8110838472,18733.9570179241,18892.1945675768,16580.8346997171,17087.5735206739,17596.5594073177,18815.1321790047,16467.8370208346,18606.759716696,18528.9531064102,18554.9596284617,19196.6938142148,19506.0366853211,19254.6959131508,18539.7747543013,15071.3443368782,17978.9345648735,15720.0118156911,18631.7872662431,16996.8813524326,18979.1859127486,20128.7610447032,18215.0623219378,18547.2623225458,18274.8113632813,17156.8870902331,17829.0639213449,16690.011837586,18779.4847409345,16989.2889503524,18641.0816033525,17696.1639496128,19127.7538417053,19153.3253766719,18666.5863217189,17158.1586382678,16561.4314887351,15218.3706941255,17388.2575747259,16700.7699950323,17734.6301001438,17637.5865032771,17150.7155908515,20247.9002397973,18585.8655091448,16153.2030061205,19354.8277474048,16499.4164785296,18320.8237047187,17718.2827872336,16981.0140537144,18201.0977604268,18495.7320524175,18563.7016545328,17702.5040804802,19158.4004113514,17905.4685217485,14114.1709487595,14753.890275262,16626.6307295379,16827.5883929467,16533.2958577201,17592.0977804727,17035.6171046244,17497.5001028786
,70.1,19461.738352444,16665.2389975286,18582.8806542613,16870.0585303026,19400.1878940428,18246.7614266303,19388.2745913628,11523.3035628804,17687.5458129096,18179.4134145165,18247.9757663143,13823.5613407536,19992.3257709606,19001.6675993353,16601.68813654,17242.7004191048,17823.9248541127,17882.3589596891,17936.3940077619,18243.3829474336,18793.7092924333,18960.5080621708,16608.9753233791,17097.531589093,17766.8275784297,18922.4705560845,16506.1584086293,18658.3136640025,18586.767952458,18578.4075732352,19251.8415780898,19544.2740508395,19438.1051732407,18617.031030759,15110.2033312222,18129.9936949202,15744.9569542791,18681.1727213973,17010.106307852,19037.1058271745,20331.9361374304,18233.2226890846,18586.1884242418,18328.7050909319,17218.3522078988,17880.6717612029,16731.5257971408,18910.5813331238,17011.3574757081,18684.6399152492,17709.29410063,19218.348468192,19279.0752871528,18750.1189379882,17213.0732278655,16612.5038056966,15227.8001583281,17431.0664308517,16734.2833713537,17767.3923865922,17648.5027632099,17165.7858788642,20363.4851822894,18705.0093588837,16318.9722352969,19532.8804471746,16577.8739184073,18368.9614393242,17786.1682716627,16982.7563837089,18245.6248243363,18556.1512925458,18589.2539505421,17724.1877820139,19242.1937756309,18094.8718573837,14159.412242209,14789.9349912734,16630.7569679143,16849.8609570438,16539.8151730873,17609.0992463547,17063.029446668,17533.801669354
,70.2,19550.9791132869,16749.5233453798,18699.3435639255,16889.5197320475,19484.0633688447,18312.2492923765,19547.7173857869,11542.1700412403,17761.5417604186,18266.6968850645,18266.8743803902,13862.4162249852,20143.7488851422,19125.6977509826,16612.2876394143,17263.3512466987,17873.6071767192,17916.4773198503,17977.1777331206,18252.95481102,18853.4615669424,19028.8215567647,16637.1159470411,17107.4896575121,17937.0957495417,19029.8089331643,16544.4797964239,18709.867611309,18644.5827985057,18601.8555180088,19306.9893419648,19582.5114163579,19621.5144333306,18694.2873072168,15149.0623255662,18281.0528249669,15769.9020928672,18730.5581765515,17023.3312632715,19095.0257416004,20535.1112301577,18251.3830562314,18625.1145259379,18382.5988185824,17279.8173255644,17932.2796010609,16773.0397566956,19041.677925313,17033.4260010638,18728.1982271459,17722.4242516472,19308.9430946787,19404.8251976338,18833.6515542575,17267.9878174632,16663.5761226582,15237.2296225306,17473.8752869774,16767.7967476751,17800.1546730406,17659.4190231427,17180.8561668768,20479.0701247816,18824.1532086225,16484.7414644734,19710.9331469444,16656.331358285,18417.0991739296,17854.0537560918,16984.4987137034,18290.1518882458,18616.570532674,18614.8062465515,17745.8714835476,19325.9871399105,18284.275193019,14204.6535356584,14825.9797072848,16634.8832062907,16872.1335211409,16546.3344884546,17626.1007122367,17090.4417887115,17570.1032358294
,70.3,19640.2198741298,16833.8076932311,18815.8064735896,16908.9809337925,19567.9388436465,18377.7371581227,19707.1601802109,11561.0365196001,17835.5377079277,18353.9803556125,18285.7729944662,13901.2711092167,20295.1719993237,19249.7279026298,16622.8871422885,17284.0020742925,17923.2894993256,17950.5956800114,18017.9614584792,18262.5266746065,18913.2138414515,19097.1350513587,16665.2565707031,17117.4477259312,18107.3639206537,19137.1473102441,16582.8011842186,18761.4215586155,18702.3976445535,18625.3034627823,19362.1371058397,19620.7487818763,19804.9236934205,18771.5435836746,15187.9213199101,18432.1119550136,15794.8472314552,18779.9436317057,17036.5562186909,19152.9456560262,20738.2863228848,18269.5434233782,18664.0406276339,18436.492546233,17341.28244323,17983.8874409189,16814.5537162503,19172.7745175023,17055.4945264195,18771.7565390426,17735.5544026644,19399.5377211654,19530.5751081148,18917.1841705268,17322.9024070609,16714.6484396197,15246.6590867332,17516.6841431031,16801.3101239965,17832.916959489,17670.3352830754,17195.9264548894,20594.6550672736,18943.2970583614,16650.5106936499,19888.9858467142,16734.7887981627,18465.236908535,17921.939240521,16986.2410436979,18334.6789521553,18676.9897728022,18640.3585425609,17767.5551850813,19409.7805041901,18473.6785286542,14249.8948291079,14862.0244232963,16639.0094446671,16894.406085238,16552.8538038218,17643.1021781188,17117.8541307551,17606.4048023048
,70.4,19729.4606349727,16918.0920410824,18932.2693832538,16928.4421355374,19651.8143184484,18443.225023869,19866.602974635,11579.9029979599,17909.5336554367,18441.2638261605,18304.6716085421,13940.1259934483,20446.5951135053,19373.758054277,16633.4866451627,17304.6529018864,17972.9718219321,17984.7140401725,18058.7451838378,18272.0985381929,18972.9661159607,19165.4485459526,16693.3971943652,17127.4057943504,18277.6320917658,19244.4856873239,16621.1225720133,18812.975505922,18760.2124906013,18648.7514075558,19417.2848697147,19658.9861473947,19988.3329535105,18848.7998601324,15226.7803142541,18583.1710850604,15819.7923700433,18829.32908686,17049.7811741104,19210.8655704521,20941.4614156121,18287.703790525,18702.9667293299,18490.3862738835,17402.7475608957,18035.4952807768,16856.0676758051,19303.8711096915,17077.5630517752,18815.3148509392,17748.6845536816,19490.1323476521,19656.3250185958,19000.716786796,17377.8169966586,16765.7207565812,15256.0885509358,17559.4929992288,16834.8235003179,17865.6792459374,17681.2515430082,17210.996742902,20710.2400097657,19062.4409081003,16816.2799228264,20067.0385464841,16813.2462380404,18513.3746431405,17989.8247249501,16987.9833736924,18379.2060160649,18737.4090129305,18665.9108385702,17789.238886615,19493.5738684696,18663.0818642895,14295.1361225573,14898.0691393077,16643.1356830435,16916.6786493351,16559.3731191891,17660.1036440008,17145.2664727987,17642.7063687802
,70.5,19818.7013958152,17002.3763889317,19048.7322929179,16947.9033372815,19735.6897932517,18508.7128896146,20026.0457690576,11598.7694763198,17983.5296029465,18528.5472967072,18323.5702226197,13978.9808776801,20598.0182276863,19497.7882059232,16644.0861480376,17325.303729481,18022.6541445382,18018.8324003336,18099.5289091964,18281.6704017794,19032.7183904703,19233.7620405466,16721.5378180272,17137.3638627698,18447.9002628758,19351.8240644036,16659.4439598068,18864.5294532296,18818.027336649,18672.1993523291,19472.4326335889,19697.223512913,20171.7422135999,18926.0561365892,15265.6393085976,18734.2302151073,15844.737508632,18878.714542015,17063.0061295302,19268.7854848776,21144.6365083396,18305.8641576721,18741.8928310254,18544.2800015338,17464.2126785605,18087.1031206329,16897.5816353611,19434.9677018804,17099.6315771315,18858.8731628367,17761.8147046985,19580.726974139,19782.0749290777,19084.2494030637,17432.7315862558,16816.793073543,15265.5180151396,17602.301855355,16868.3368766404,17898.4415323854,17692.1678029398,17226.0670309149,20825.8249522578,19181.5847578378,16982.0491520027,20245.0912462536,16891.7036779185,18561.5123777461,18057.7102093786,16989.7257036862,18423.7330799763,18797.8282530587,18691.4631345794,17810.9225881503,19577.367232749,18852.4851999245,14340.3774160067,14934.1138553201,16647.2619214208,16938.951213431,16565.8924345568,17677.1051098825,17172.6788148429,17679.0079352572
,70.6,19907.9421566581,17086.660736783,19165.1952025821,16967.3645390265,19819.5652680535,18574.2007553608,20185.4885634816,11617.6359546796,18057.5255504555,18615.8307672551,18342.4688366956,14017.8357619116,20749.4413418678,19621.8183575704,16654.6856509118,17345.9545570748,18072.3364671447,18052.9507604947,18140.312634555,18291.2422653658,19092.4706649794,19302.0755351405,16749.6784416893,17147.3219311889,18618.1684339878,19459.1624414834,16697.7653476014,18916.0834005361,18875.8421826968,18695.6472971026,19527.5803974638,19735.4608784315,20355.1514736898,19003.3124130469,15304.4983029416,18885.289345154,15869.68264722,18928.0999971692,17076.2310849496,19326.7053993034,21347.8116010668,18324.0245248189,18780.8189327214,18598.1737291843,17525.6777962261,18138.7109604909,16939.0955949159,19566.0642940696,17121.7001024872,18902.4314747334,17774.9448557157,19671.3216006257,19907.8248395586,19167.782019333,17487.6461758535,16867.8653905045,15274.9474793421,17645.1107114807,16901.8502529618,17931.2038188338,17703.0840628726,17241.1373189275,20941.4098947499,19300.7286075766,17147.8183811791,20423.1439460234,16970.1611177962,18609.6501123515,18125.5956938077,16991.4680336807,18468.2601438858,18858.247493187,18717.0154305888,17832.606289684,19661.1605970286,19041.8885355598,14385.6187094561,14970.1585713316,16651.3881597972,16961.223777528,16572.4117499241,17694.1065757645,17200.0911568864,17715.3095017326
,70.7,19939.9335905192,17121.9350457031,19253.2709721672,16980.985547176,19881.9915199445,18622.5241459953,20313.1082428959,11630.5795619014,18112.3472904618,18682.6286686443,18350.0761149033,14039.256932074,20851.6080819043,19689.5107741363,16648.1972673276,17356.5907536558,18094.513920183,18070.7169819709,18163.2029907953,18292.671677715,19134.370178104,19351.3944672821,16767.9207119465,17151.8427361927,18764.6748877708,19511.9189702039,16717.6774350543,18945.8412729758,18912.7798164617,18705.665644556,19560.0830681021,19760.0171823593,20501.0863373814,19054.0529290468,15311.598971292,18980.9472547598,15883.5688238239,18946.6543021273,17078.9818089595,19360.6857982557,21519.3070748672,18332.5512044877,18800.4237858746,18631.6327106748,17566.6462219458,18168.9688799052,16958.8856093611,19659.3309070222,17134.8227918495,18926.1374741691,17777.5192517135,19734.0348419088,20002.1475424395,19224.7779951886,17516.0779295694,16904.8496939137,15270.7991727702,17675.2541543941,16924.1693994601,17948.8746379779,17706.7668668188,17249.9290289222,21021.7506263836,19394.8095253106,17285.8921868717,20559.2485795004,17028.6806711013,18643.8137136693,18175.4229506903,16988.6975984077,18495.517666754,18901.7177420142,18730.6385757799,17843.6803309985,19697.6306465601,19212.0902819999,14415.509067491,14997.4896478416,16651.331069728,16976.802823126,16575.6997880821,17702.134948973,17216.5079411958,17737.4064401051
,70.8,19928.6611728492,17118.7285919562,19312.9716948275,16990.5741595714,19927.964411832,18656.3530583783,20403.5614416829,11639.3142184836,18151.9279889819,18729.2212978339,18351.3747750347,14048.17229295,20904.6017174645,19708.9222873869,16629.2754720881,17359.7416130353,18096.052935184,18075.2603150475,18175.0211629435,18287.0279623352,19161.0359077034,19385.2113496093,16777.6376307482,17153.2877051303,18881.2640348969,19518.1353326634,16721.8453953727,18958.6767037473,18931.8849023049,18703.9687929686,19575.7075919889,19775.6224691956,20604.1172547188,19084.9674966481,15295.9957043631,19023.8493071752,15887.3829286372,18940.5681706552,17072.4058461215,19372.4733696445,21647.9772431233,18333.1885570508,18809.7261511512,18650.4421339385,17589.8583913589,18181.6331771283,16960.1340379994,19713.3129922939,17140.1427303579,18933.9101458244,17772.9429084932,19772.4999247705,20067.8085559626,19260.6593969801,17522.319385141,16931.3221356007,15255.3785713351,17695.1558744003,16937.155768551,17953.8609070454,17705.4380638204,17253.714353166,21066.6342073333,19465.6392679151,17387.4278866292,20646.1314287226,17069.3161022711,18667.2611646928,18209.4047624626,16982.131535466,18509.2700456073,18930.9186072867,18737.0789942981,17847.7283443336,19695.2526821841,19352.328082067,14430.9191557001,15018.7043614095,16646.4364179097,16987.8334654827,16575.8457328691,17704.0193707546,17226.1884514848,17750.7838385093
,70.9,19890.3009938507,17089.625049628,19346.405200943,16997.0194074224,19960.0076575827,18679.5679509641,20454.3819711429,11645.0610511834,18181.2371121841,18759.0441725303,18349.264186663,14046.8681311987,20915.3255702587,19691.4407282067,16602.42685749,17355.2274069892,18081.3139291377,18067.6148098045,18179.0495442812,18274.3966473874,19175.4259734911,19403.0066225326,16784.2218737089,17152.0824763955,18965.5383603822,19489.7825744902,16711.7985258399,18956.9982535075,18936.0476730488,18691.9361326532,19579.7559264339,19782.5541798307,20665.7955079489,19102.2996965281,15266.9002949066,19023.1374868583,15881.0650690043,18918.2539045688,17056.9510285597,19365.7385209213,21730.5811484237,18328.312211781,18812.8262374781,18660.7433623543,17595.8048186604,18178.8760291261,16947.1955800371,19733.0611471088,17137.1785414967,18927.2449933054,17762.5185511377,19789.0028188569,20110.6618656484,19282.7255485209,17511.0314270437,16948.6077258877,15231.4955904409,17705.2304696104,16941.9291058049,17947.9570215342,17698.8387543742,17252.4026205642,21083.5832920821,19517.1189264117,17446.9296687912,20684.7742136805,17093.2201526713,18680.0418055123,18228.7331368481,16970.7249824449,18511.2473644241,18946.727564463,18738.6892986401,17847.157344168,19665.9200456666,19452.123729619,14431.9053875621,15034.5138221326,16636.1462295353,16992.7298700152,16573.2712387493,17700.4694182252,17230.2518083739,17759.4529557005
