Sample,proportion,sampletype,generation,competid,population,env,Cq
A1,1,std,NA,NA,NA,NA,27.2496374036129
A2,0.9,std,NA,NA,NA,NA,27.5313631500644
A3,0.8,std,NA,NA,NA,NA,26.4317218195173
A4,0.7,std,NA,NA,NA,NA,26.5935396118227
A5,0.6,std,NA,NA,NA,NA,26.2139204693997
A6,0.5,std,NA,NA,NA,NA,26.1573013188012
A7,0.4,std,NA,NA,NA,NA,26.0665675290821
A8,0.3,std,NA,NA,NA,NA,27.0169867495964
A9,0.2,std,NA,NA,NA,NA,26.2047927140641
A10,0.1,std,NA,NA,NA,NA,26.1965398017301
A11,0,std,NA,NA,NA,NA,26.1166753889249
A12,NA,negcont,NA,NA,NA,NA,34.912107345476
B1,1,std,NA,NA,NA,NA,26.3932787244494
B2,0.9,std,NA,NA,NA,NA,26.5785046245546
B3,0.8,std,NA,NA,NA,NA,27.1606743707093
B4,0.7,std,NA,NA,NA,NA,26.5235072594445
B5,0.6,std,NA,NA,NA,NA,26.3710562304415
B6,0.5,std,NA,NA,NA,NA,26.172440196714
B7,0.4,std,NA,NA,NA,NA,26.0011130999268
B8,0.3,std,NA,NA,NA,NA,26.0625035032824
B9,0.2,std,NA,NA,NA,NA,25.6348603245295
B10,0.1,std,NA,NA,NA,NA,25.5875201856246
B11,0,std,NA,NA,NA,NA,25.7169391234496
B12,1,poscont,NA,NA,NA,NA,26.7243668998059
C1,NA,sample,2,1,1,0.015,29.5050338088734
C2,NA,sample,2,1,2,0.015,29.2108095187345
C3,NA,sample,2,1,3,0.015,29.6157830164982
C4,NA,sample,2,1,4,0.015,30.1317857090809
C5,NA,sample,2,1,5,0.015,29.4896397755161
C6,NA,sample,2,1,6,1.5,25.5464772594394
C7,NA,sample,2,1,7,1.5,25.8293955355872
C8,NA,sample,2,1,8,1.5,24.9620419753389
C9,NA,sample,2,1,9,1.5,26.3743762183222
C10,NA,sample,2,1,10,1.5,25.5856801815281
D1,NA,sample,2,2,11,0.015,29.9029926590349
D2,NA,sample,2,2,12,0.015,30.2894145491114
D3,NA,sample,2,2,13,0.015,30.6100659795882
D4,NA,sample,2,2,14,0.015,30.1809628189283
D5,NA,sample,2,2,15,0.015,30.2558004646859
D6,NA,sample,2,2,16,1.5,26.0293533708672
D7,NA,sample,2,2,17,1.5,26.2067942248704
D8,NA,sample,2,2,18,1.5,26.1290917055099
D9,NA,sample,2,2,19,1.5,26.01502285658
D10,NA,sample,2,2,20,1.5,25.4034742254106
E1,NA,sample,2,3,21,0.015,29.2751191987415
E2,NA,sample,2,3,22,0.015,29.6830728527772
E3,NA,sample,2,3,23,0.015,30.8162795921658
E4,NA,sample,2,3,24,0.015,30.319945520719
E5,NA,sample,2,3,25,0.015,31.035203013272
E6,NA,sample,2,3,26,1.5,26.8191458493032
E7,NA,sample,2,3,27,1.5,26.078376023848
E8,NA,sample,2,3,28,1.5,26.1018646130262
E9,NA,sample,2,3,29,1.5,25.9753276217805
E10,NA,sample,2,3,30,1.5,26.4648137080636
F1,NA,sample,2,4,31,0.015,30.3609819576545
F2,NA,sample,2,4,32,0.015,30.9283110938813
F3,NA,sample,2,4,33,0.015,31.4145209814109
F4,NA,sample,2,4,34,0.015,30.6119553776152
F5,NA,sample,2,4,35,0.015,31.1494494774149
F6,NA,sample,2,4,36,1.5,26.5883014109454
F7,NA,sample,2,4,37,1.5,27.2266284419018
F8,NA,sample,2,4,38,1.5,27.1106196484621
F9,NA,sample,2,4,39,1.5,26.140230250863
F10,NA,sample,2,4,40,1.5,25.8699634049339
G1,NA,sample,2,5,41,0.015,28.5829552475201
G2,NA,sample,2,5,42,0.015,29.0555127837049
G3,NA,sample,2,5,43,0.015,28.6997698767053
G4,NA,sample,2,5,44,0.015,29.1470039006494
G5,NA,sample,2,5,45,0.015,28.7904096284095
G6,NA,sample,2,5,46,1.5,25.119248030468
G7,NA,sample,2,5,47,1.5,25.5140945517086
G8,NA,sample,2,5,48,1.5,24.413263045963
G9,NA,sample,2,5,49,1.5,25.0642193609049
G10,NA,sample,2,5,50,1.5,25.1069181484297
H1,NA,sample,2,6,51,0.015,28.4745935210841
H2,NA,sample,2,6,52,0.015,28.7174823881631
H3,NA,sample,2,6,53,0.015,30.0055147949999
H4,NA,sample,2,6,54,0.015,29.9125334877676
H5,NA,sample,2,6,55,0.015,29.5573516664397
H6,NA,sample,2,6,56,1.5,25.2989648772285
H7,NA,sample,2,6,57,1.5,25.6569017344889
H8,NA,sample,2,6,58,1.5,25.1105405929657
H9,NA,sample,2,6,59,1.5,25.7662834643432
H10,NA,sample,2,6,60,1.5,25.783134328936
