,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
,70,22178.4934573876,21221.4493568213,22438.8747244649,21949.4878826109,21939.1146018623,24529.2971217872,23742.858948064,23279.2617633652,22647.7915121872,21768.5708224864,22954.8208379178,16996.6361467945,23631.7829602198,23201.0538015106,22184.9690369582,24674.6487067484,23720.308268022,24754.5819011744,24126.1361056149,24720.6760841202,26488.2351004663,25773.6832936275,25404.5863203266,24444.6191282103,20707.9248741777,22447.6183846403,21877.597209429,23970.5203231273,23086.729012608,24897.0353094458,24969.2472159456,24802.0589837132,24746.2618206105,24285.6395945945,24176.7925221597,21991.5056184524,23730.9800367221,22430.0120251345,25729.298626546,25505.8166851161,26232.1099774469,27492.7905285676,27119.6987115223,27409.1109451549,26558.2983672445,21839.0880549399,22896.8784894496,21859.762321907,23590.9125780737,23826.293855361,26855.5737536286,27897.8307998598,27137.7722770136,27383.6849509307,26562.1359469715,22837.4764794719,23960.9372124773,23856.679252368,24045.0907494884,26072.3656102177,29863.6523446505,26808.4595726382,27608.3126877328,27610.4322515773,28710.1137578628
,70.1,22178.4829565351,21306.085888395,22513.7633288634,22071.5956066135,22065.9632772717,24675.4468698865,23890.5871974808,23421.6109100777,22711.1017086004,21811.8747503316,23078.6423572874,17037.1616530655,23664.1572289795,23251.5779896347,22252.686463489,24783.3622423294,23743.2266571155,24877.539301069,24307.5793275635,24830.2225293828,26566.2179922245,25888.2215676357,25537.5913520959,24425.1383799079,20770.2986643461,22494.2212815128,21942.1528285557,24075.1952705106,23138.9983854079,25046.8391852151,25087.2887897435,24866.6120645561,24910.897853096,24396.6780687207,24242.2342895673,22040.1786287531,23742.3137121338,22435.2902539037,25854.8276097257,25660.1140918076,26316.5958421923,27616.0347409958,27264.1736430601,27559.0805506378,26570.4254237484,21840.301487187,23026.459825412,21885.7297706154,23701.4758649132,23912.27221976,27001.5376771062,28012.1416264281,27321.2746411475,27541.2631196843,26757.8297163705,22905.5009912557,24018.3858325047,23965.7489700359,24160.6371695217,26202.7087279646,30097.6907422699,26993.6262743957,27737.4323539054,27832.1164672067,28924.0049228892
,70.2,22178.4724556827,21390.7224199687,22588.6519332619,22193.7033306161,22192.8119526811,24821.5966179859,24038.3154468977,23563.9600567901,22774.4119050136,21855.1786781768,23202.463876657,17077.6871593365,23696.5314977392,23302.1021777587,22320.4038900197,24892.0757779104,23766.145046209,25000.4967009636,24489.0225495121,24939.7689746455,26644.2008839826,26002.7598416439,25670.5963838651,24405.6576316056,20832.6724545145,22540.8241783852,22006.7084476825,24179.870217894,23191.2677582078,25196.6430609845,25205.3303635415,24931.165145399,25075.5338855815,24507.7165428468,24307.6760569749,22088.8516390537,23753.6473875455,22440.5684826729,25980.3565929055,25814.4114984992,26401.0817069377,27739.2789534242,27408.6485745979,27709.0501561207,26582.5524802523,21841.5149194341,23156.0411613744,21911.6972193237,23812.0391517527,23998.2505841591,27147.5016005839,28126.4524529965,27504.7770052815,27698.8412884379,26953.5234857695,22973.5255030395,24075.834452532,24074.8186877037,24276.1835895549,26333.0518457116,30331.7291398893,27178.7929761531,27866.5520200782,28053.8006828362,29137.8960879157
,70.3,22178.4619548302,21475.3589515425,22663.5405376604,22315.8110546187,22319.6606280906,24967.7463660852,24186.0436963145,23706.3092035025,22837.7221014268,21898.482606022,23326.2853960266,17118.2126656075,23728.9057664989,23352.6263658827,22388.1213165505,25000.7893134914,23789.0634353025,25123.4541008583,24670.4657714606,25049.3154199081,26722.1837757408,26117.2981156522,25803.6014156343,24386.1768833033,20895.0462446829,22587.4270752576,22071.2640668092,24284.5451652773,23243.5371310076,25346.4469367539,25323.3719373395,24995.718226242,25240.1699180669,24618.755016973,24373.1178243825,22137.5246493544,23764.9810629572,22445.846711442,26105.8855760852,25968.7089051908,26485.5675716832,27862.5231658525,27553.1235061357,27859.0197616036,26594.6795367562,21842.7283516812,23285.6224973369,21937.664668032,23922.6024385922,24084.228948558,27293.4655240616,28240.7632795649,27688.2793694154,27856.4194571915,27149.2172551685,23041.5500148233,24133.2830725593,24183.8884053715,24391.7300095882,26463.3949634585,30565.7675375088,27363.9596779105,27995.6716862508,28275.4848984656,29351.7872529421
,70.4,22178.4514539777,21559.9954831162,22738.4291420589,22437.9187786214,22446.5093035,25113.8961141845,24333.7719457314,23848.6583502149,22901.0322978399,21941.7865338672,23450.1069153963,17158.7381718784,23761.2800352586,23403.1505540068,22455.8387430813,25109.5028490724,23811.981824396,25246.4115007529,24851.9089934092,25158.8618651707,26800.166667499,26231.8363896604,25936.6064474036,24366.6961350009,20957.4200348513,22634.02997213,22135.819685936,24389.2201126606,23295.8065038075,25496.2508125233,25441.4135111375,25060.2713070849,25404.8059505524,24729.7934910992,24438.5595917901,22186.197659655,23776.314738369,22451.1249402112,26231.4145592649,26123.0063118823,26570.0534364286,27985.7673782808,27697.5984376735,28008.9893670866,26606.8065932601,21843.9417839283,23415.2038332993,21963.6321167403,24033.1657254318,24170.2073129571,27439.4294475393,28355.0741061332,27871.7817335493,28013.9976259451,27344.9110245675,23109.5745266071,24190.7316925867,24292.9581230394,24507.2764296214,26593.7380812055,30799.8059351282,27549.1263796679,28124.7913524235,28497.1691140951,29565.6784179686
,70.5,22178.4409531247,21644.6320146908,22813.3177464571,22560.0265026228,22573.357978909,25260.0458622833,24481.5001951486,23991.0074969265,22964.3424942533,21985.0904617121,23573.9284347657,17199.2636781493,23793.6543040189,23453.6747421295,22523.5561696117,25218.2163846543,23834.9002134892,25369.3689006461,25033.3522153575,25268.4083104337,26878.1495592572,26346.3746636682,26069.6114791742,24347.2153866999,21019.7938250194,22680.6328690016,22200.375305061,24493.8950600441,23348.0758766076,25646.054688293,25559.4550849359,25124.8243879286,25569.4419830368,24840.8319652268,24504.0013591972,22234.8706699564,23787.6484137806,22456.4031689815,26356.9435424448,26277.3037185745,26654.5393011755,28109.0115907087,27842.0733692113,28158.9589725691,26618.9336497632,21845.1552161741,23544.7851692619,21989.5995654495,24143.7290122704,24256.1856773546,27585.3933710172,28469.3849327027,28055.2840976849,28171.575794699,27540.6047939672,23177.5990383904,24248.1803126156,24402.0278407061,24622.8228496559,26724.0811989538,31033.844332746,27734.2930814261,28253.9110185961,28718.8533297239,29779.5695829937
,70.6,22178.4304522723,21729.2685462645,22888.2063508556,22682.1342266254,22700.2066543184,25406.1956103826,24629.2284445655,24133.3566436389,23027.6526906664,22028.3943895573,23697.7499541353,17239.7891844203,23826.0285727786,23504.1989302535,22591.2735961425,25326.9299202353,23857.8186025827,25492.3263005407,25214.795437306,25377.9547556963,26956.1324510153,26460.9129376764,26202.6165109434,24327.7346383976,21082.1676151878,22727.235765874,22264.9309241877,24598.5700074274,23400.3452494075,25795.8585640624,25677.4966587339,25189.3774687716,25734.0780155222,24951.870439353,24569.4431266048,22283.543680257,23798.9820891923,22461.6813977506,26482.4725256246,26431.601125266,26739.0251659209,28232.255803137,27986.5483007491,28308.928578052,26631.060706267,21846.3686484212,23674.3665052244,22015.5670141579,24254.2922991099,24342.1640417536,27731.3572944948,28583.6957592711,28238.7864618188,28329.1539634526,27736.2985633662,23245.6235501742,24305.6289326429,24511.097558374,24738.3692696892,26854.4243167008,31267.8827303654,27919.4597831835,28383.0306847688,28940.5375453533,29993.4607480202
,70.7,22147.7769816173,21761.3172984226,22904.8913212516,22762.5524572106,22778.1918182225,25479.9124107604,24706.1941132843,24207.3617501031,23043.0638691845,22046.336387655,23751.1005861203,17242.3898514492,23829.2437910946,23529.6033499059,22622.7147261422,25364.6918739972,23859.5533899147,25556.2701640771,25316.4672759982,25414.171180556,26965.493620495,26500.056550293,26263.4029531619,24280.7732947979,21110.3025669304,22746.8949899354,22300.0617727691,24648.7244387327,23415.5424333004,25873.696657603,25726.1938960455,25197.20267657,25826.0569254072,25017.773595512,24577.6043116013,22306.8359824877,23795.8650589792,22457.470496633,26539.558222306,26518.4420220676,26759.6010939738,28283.1739870631,28059.5890296935,28379.0610167622,26609.762063069,21835.4969168937,23761.767058206,22024.4112414937,24322.2830195041,24396.1051225024,27800.6778081422,28622.1481893939,28344.4643064962,28406.4520589911,27854.9038555846,23283.1423024484,24333.8658746329,24581.527312657,24813.8062009535,26918.9985859468,31420.5721296845,28031.5653078129,28438.9949699792,29096.1710691687,30158.4583512593
,70.8,22102.377600013,21752.8665235024,22881.3569218541,22804.0395765041,22812.5340274563,25493.1177442798,24725.5187473452,24225.7097021589,23024.1781089714,22045.8231905619,23748.7303381317,17221.7300520867,23812.6204894313,23537.5769667018,22626.585735576,25349.5603145249,23846.5759691497,25570.2103532701,25349.1443557956,25396.9022305154,26927.521994907,26483.4122272076,26267.4069116522,24221.7500652665,21111.5186744858,22748.3493378942,22312.598992248,24655.5583652996,23405.3870473959,25891.8950547189,25720.0520627576,25167.2452588461,25856.3371266997,25044.2708856993,24548.3723118331,22310.0854278522,23779.6187558364,22446.2779258147,26540.7964176929,26546.550739322,26734.2158199474,28276.7865379424,28071.98928133,28385.083245108,26568.518051603,21814.4667191033,23807.3515130976,22019.3177068609,24352.3232631207,24421.5098120262,27805.8674832266,28600.839011807,28380.1467196731,28416.3596888333,27901.6991302372,23296.3188806268,24339.9530998465,24616.8039750086,24853.4450298188,26929.2262677784,31491.493805737,28074.6023613848,28436.4278364179,29181.6137199307,30257.5220372203
,70.9,22048.5831063861,21718.6154308012,22834.4826710625,22812.8975616065,22811.2500354221,25462.1833934606,24700.9753050766,24200.4304405029,22982.9062701022,22028.4676632585,23708.2000294881,17186.3100996253,23779.8989000733,23531.0786343561,22609.0974738997,25302.1867162407,23820.1580116918,25547.3114189306,25328.496080164,25347.3402303608,26862.8562603725,26432.7334541345,26230.4776575278,24155.9573437605,21093.531937109,22734.0656845632,22306.4917008127,24631.2166814842,23375.36455649,25866.6822678697,25675.923550954,25117.4791683098,25837.9266683549,25039.2533926967,24497.7718739295,22297.6396214878,23750.9071939515,22427.5191980206,26502.8396859423,26530.360348947,26680.0914985378,28229.9800722438,28039.9147982849,28345.812737064,26516.1334414321,21783.8550550908,23814.6882937332,22002.0000825061,24350.2992266384,24423.9227738811,27762.9733921287,28541.2864111937,28365.3124374281,28374.4179327384,27892.390804488,23289.8684001047,24327.6190901282,24622.0348593559,24862.5153202777,26899.3400577406,31490.412969227,28061.145154147,28391.2919605652,29203.3539093386,30291.3403516565
