,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11
,70,19756.3131753557,20209.3065776215,20753.9101732214,19903.9574380165,20329.9308028251,21281.8341192633,20973.7621654368,20907.3125577873,21966.6126175092,20144.6683286236,21489.0995032607,16638.626593015,20839.7265962818,23479.1865062263,21149.9089953116,21144.4731029416,21744.8007374832,22399.4114837348,21671.2702845557,22656.4973361289,22222.3839495443,23756.687446242,23214.6971783527,21770.2182277838,20313.4582519391,22286.2131376255,21667.0608555158,21429.3639589041,22202.7602062781,22269.3758348835,21960.3876722391,21810.6138402045,22579.1581713704,21921.6911680462,22744.4202753919,21774.9719022872,22184.0391656969,23272.1939163865,21357.744455851,22947.3324563893,24942.9561253424,24017.2261034147,24769.6620523266,23377.0167380033,24045.8925982555,23751.3692574904,23523.1621078508,21787.6196479973,19980.7997158888,22368.7710100721,21602.5265530748,21190.056057631,23384.436405359,23519.4322007838,23980.0266324649,24089.4654651798,23770.7002476754,22268.0200887024,21527.4814921597,24198.1280465794,19083.3902682404,22045.0008495973,23278.7506214423,23097.7226201473,25037.5019768072,25737.2153636736,25829.5214551557,25253.6298440498,25251.2296381644,24702.9569168702,23147.0077788795,22758.5408736768,22843.8069306996,21855.2903186541,22275.4517696634,22577.559190642,22459.3204269462,23216.708753187,21694.9073077945,22824.2496549941,22594.8256702704,21815.9884170281,24662.1165433584,24747.8998125697,21788.4644040881,22413.2154236931,23662.6923772934,23988.5839045647,24459.7432189525,25629.4308771449,24094.1837119172,25460.090299399,23044.9720026306
,70.1,19785.6788400427,20224.2296556481,20873.4129216364,19929.3710687582,20358.0684441789,21306.7485923903,21001.0689975929,21043.0251131486,22034.6218496668,20158.8796815285,21538.0222051011,16679.7392371694,20847.3703071222,23535.205860804,21157.172247463,21153.0582064585,21763.3004033274,22416.3568840604,21739.2106061627,22737.4607455268,22235.640872518,23792.2735862498,23321.4620899519,21851.9882503139,20335.4069516605,22319.4832218632,21685.2061902596,21446.8534385293,22225.8345606888,22307.9068358393,22017.2017498335,21902.243817303,22624.5629907326,21975.4211238738,22819.4947972868,21800.077643531,22170.1683518111,23318.9002217852,21375.6752720504,22973.8123189083,25004.4082292711,24111.2497472087,24801.9885038221,23480.0935304643,24109.6777281336,23887.9063178766,23606.117714549,21795.298218559,19983.6764520094,22447.597348247,21614.9557781007,21194.4324866427,23450.1090348306,23597.8166572212,24050.8951628712,24142.3741953462,23907.6536482919,22299.8743540581,21576.2213613721,24428.0820591843,19123.8172932064,22069.4836455924,23345.3982861519,23169.1517766731,25094.5001074526,25862.5066606456,26004.0474997681,25423.4109421559,25363.0589843237,24819.1920852032,23191.1560204037,22742.052140173,22915.3085503523,21890.1786838071,22388.7141441559,22591.449823045,22508.7583485688,23369.1362693163,21721.3847269196,22928.9685988424,22702.8828674044,21851.6359959314,24807.4904898365,25023.773565484,21796.3568362672,22460.0814661817,23683.6541042143,24033.6967701232,24545.7481317761,25801.8245953966,24140.926370926,25576.2840674402,23058.1029418695
,70.2,19815.0445047298,20239.1527336748,20992.9156700514,19954.7846994999,20386.2060855327,21331.6630655173,21028.3758297489,21178.73766851,22102.6310818244,20173.0910344335,21586.9449069414,16720.8518813238,20855.0140179626,23591.2252153818,21164.4354996145,21161.6433099754,21781.8000691716,22433.302284386,21807.1509277696,22818.4241549246,22248.8977954918,23827.8597262577,23428.2270015511,21933.7582728441,20357.3556513819,22352.7533061009,21703.3515250033,21464.3429181544,22248.9089150996,22346.437836795,22074.0158274279,21993.8737944015,22669.9678100948,22029.1510797014,22894.5693191817,21825.1833847749,22156.2975379252,23365.6065271839,21393.6060882497,23000.2921814273,25065.8603331998,24205.2733910027,24834.3149553175,23583.1703229252,24173.4628580118,24024.4433782628,23689.0733212473,21802.9767891207,19986.55318813,22526.4236864219,21627.3850031266,21198.8089156544,23515.7816643023,23676.2011136585,24121.7636932776,24195.2829255127,24044.6070489084,22331.7286194137,21624.9612305844,24658.0360717892,19164.2443181724,22093.9664415875,23412.0459508615,23240.580933199,25151.4982380981,25987.7979576176,26178.5735443805,25593.192040262,25474.8883304829,24935.4272535362,23235.3042619279,22725.5634066692,22986.8101700051,21925.0670489602,22501.9765186485,22605.340455448,22558.1962701914,23521.5637854456,21747.8621460448,23033.6875426908,22810.9400645385,21887.2835748346,24952.8644363146,25299.6473183983,21804.2492684464,22506.9475086703,23704.6158311352,24078.8096356817,24631.7530445997,25974.2183136483,24187.6690299349,25692.4778354814,23071.2338811084
,70.3,19844.4101694168,20254.0758117014,21112.4184184664,19980.1983302415,20414.3437268865,21356.5775386443,21055.682661905,21314.4502238713,22170.640313982,20187.3023873384,21635.8676087818,16761.9645254782,20862.6577288031,23647.2445699596,21171.6987517659,21170.2284134924,21800.2997350158,22450.2476847116,21875.0912493766,22899.3875643224,22262.1547184655,23863.4458662655,23534.9919131504,22015.5282953742,20379.3043511033,22386.0233903385,21721.4968597471,21481.8323977796,22271.9832695103,22384.9688377508,22130.8299050223,22085.5037714999,22715.3726294571,22082.8810355291,22969.6438410766,21850.2891260187,22142.4267240394,23412.3128325827,21411.5369044491,23026.7720439463,25127.3124371285,24299.2970347967,24866.641406813,23686.2471153862,24237.2479878899,24160.9804386489,23772.0289279455,21810.6553596824,19989.4299242506,22605.2500245968,21639.8142281524,21203.1853446661,23581.4542937739,23754.5855700959,24192.632223684,24248.1916556791,24181.5604495249,22363.5828847693,21673.7010997968,24887.9900843941,19204.6713431384,22118.4492375826,23478.6936155711,23312.0100897248,25208.4963687436,26113.0892545895,26353.0995889929,25762.9731383681,25586.7176766421,25051.6624218692,23279.4525034521,22709.0746731654,23058.3117896578,21959.9554141133,22615.2388931411,22619.231087851,22607.6341918141,23673.9913015749,21774.33956517,23138.4064865392,22918.9972616725,21922.9311537379,25098.2383827926,25575.5210713126,21812.1417006255,22553.8135511588,23725.5775580561,24123.9225012402,24717.7579574233,26146.6120318999,24234.4116889437,25808.6716035225,23084.3648203473
,70.4,19873.7758341039,20268.9988897281,21231.9211668814,20005.6119609832,20442.4813682403,21381.4920117713,21082.989494061,21450.1627792327,22238.6495461397,20201.5137402433,21684.7903106222,16803.0771696327,20870.3014396435,23703.2639245373,21178.9620039174,21178.8135170093,21818.79940086,22467.1930850372,21943.0315709836,22980.3509737203,22275.4116414392,23899.0320062734,23641.7568247496,22097.2983179044,20401.2530508247,22419.2934745762,21739.6421944909,21499.3218774048,22295.057623921,22423.4998387066,22187.6439826167,22177.1337485984,22760.7774488193,22136.6109913567,23044.7183629715,21875.3948672626,22128.5559101535,23459.0191379814,21429.4677206485,23053.2519064653,25188.7645410571,24393.3206785907,24898.9678583084,23789.3239078472,24301.033117768,24297.5174990351,23854.9845346437,21818.3339302442,19992.3066603712,22684.0763627717,21652.2434531783,21207.5617736778,23647.1269232455,23832.9700265332,24263.5007540904,24301.1003858456,24318.5138501415,22395.4371501249,21722.4409690092,25117.944096999,19245.0983681044,22142.9320335777,23545.3412802807,23383.4392462506,25265.4944993891,26238.3805515615,26527.6256336053,25932.7542364742,25698.5470228014,25167.8975902023,23323.6007449763,22692.5859396616,23129.8134093106,21994.8437792663,22728.5012676337,22633.121720254,22657.0721134367,23826.4188177042,21800.8169842951,23243.1254303875,23027.0544588066,21958.5787326412,25243.6123292707,25851.3948242269,21820.0341328047,22600.6795936474,23746.539284977,24169.0353667986,24803.7628702469,26319.0057501516,24281.1543479526,25924.8653715637,23097.4957595862
,70.5,19903.1414987891,20283.921967755,21351.4239152963,20031.0255917244,20470.6190095958,21406.4064848972,21110.296326218,21585.8753345934,22306.6587782964,20215.7250931485,21733.7130124628,16844.1898137882,20877.9451504856,23759.2832791146,21186.2252560689,21187.3986205256,21837.2990667043,22484.1384853615,22010.9718925904,23061.3143831192,22288.6685644141,23934.6181462806,23748.521736349,22179.0683404354,20423.2017505476,22452.5635588128,21757.7875292348,21516.8113570301,22318.1319783313,22462.0308396628,22244.4580602113,22268.7637256979,22806.1822681805,22190.3409471835,23119.7928848664,21900.5006085062,22114.6850962678,23505.7254433803,21447.3985368498,23079.7317689854,25250.2166449871,24487.3443223834,24931.2943098042,23892.4007003082,24364.8182476447,24434.0545594207,23937.9401413402,21826.0125008061,19995.183396492,22762.9027009459,21664.6726782039,21211.9382026885,23712.7995527171,23911.3544829701,24334.3692844966,24354.0091160119,24455.467250757,22427.2914154816,21771.1808382211,25347.8981096043,19285.525393071,22167.4148295747,23611.98894499,23454.8684027756,25322.4926300342,26363.6718485338,26702.1516782186,26102.5353345814,25810.3763689596,25284.1327585348,23367.7489864996,22676.097206158,23201.315028964,22029.7321444197,22841.7636421248,22647.0123526559,22706.510035058,23978.8463338339,21827.29440342,23347.8443742356,23135.1116559408,21994.2263115461,25388.9862757498,26127.2685771401,21827.9265649845,22647.5456361363,23767.5010118981,24214.1482323583,24889.7677830708,26491.3994684025,24327.8970069609,26041.0591396041,23110.6266988254
,70.6,19932.5071634762,20298.8450457817,21470.9266637113,20056.439222466,20498.7566509496,21431.3209580241,21137.603158374,21721.5878899547,22374.668010454,20229.9364460534,21782.6357143031,16885.3024579426,20885.588861326,23815.3026336924,21193.4885082204,21195.9837240425,21855.7987325485,22501.0838856871,22078.9122141974,23142.277792517,22301.9254873878,23970.2042862884,23855.2866479482,22260.8383629655,20445.150450269,22485.8336430505,21775.9328639785,21534.3008366552,22341.206332742,22500.5618406185,22301.2721378057,22360.3937027964,22851.5870875427,22244.0709030111,23194.8674067613,21925.60634975,22100.814282382,23552.431748779,21465.3293530492,23106.2116315044,25311.6687489157,24581.3679661774,24963.6207612997,23995.4774927692,24428.6033775228,24570.5916198069,24020.8957480384,21833.6910713678,19998.0601326126,22841.7290391208,21677.1019032297,21216.3146317002,23778.4721821887,23989.7389394074,24405.237814903,24406.9178461783,24592.4206513735,22459.1456808373,21819.9207074334,25577.8521222092,19325.952418037,22191.8976255698,23678.6366096995,23526.2975593014,25379.4907606796,26488.9631455058,26876.6777228309,26272.3164326875,25922.2057151188,25400.3679268678,23411.8972280238,22659.6084726543,23272.8166486167,22064.6205095728,22955.0260166173,22660.9029850589,22755.9479566807,24131.2738499632,21853.7718225452,23452.563318084,23243.1688530748,22029.8738904493,25534.3602222278,26403.1423300543,21835.8189971637,22694.4116786248,23788.462738819,24259.2610979167,24975.7726958944,26663.7931866541,24374.6396659698,26157.2529076453,23123.7576380643
,70.7,19945.1578576933,20302.0046824664,21557.4311335556,20074.283968553,20520.1008625641,21446.202552347,21156.5737297301,21814.7071007752,22400.4065575843,20232.0979224262,21789.0482176849,16898.9792085664,20880.9303705435,23830.1859393087,21186.4628807544,21195.0729094826,21862.7177330055,22491.6813916118,22120.2011364688,23187.2482252923,22304.4293563262,23971.4420100511,23907.2219484594,22302.2818436788,20447.417727432,22495.4421406139,21781.9759882165,21543.9889603811,22350.9066953524,22518.3281038204,22324.1520453585,22420.5936519758,22869.3468329794,22272.0952944147,23236.9035911048,21934.8489426741,22074.7582782333,23573.243601116,21475.1848459998,23118.5058001363,25327.7482672655,24633.1302940262,24963.7823824541,24062.6102396973,24464.1327892447,24651.5348361407,24078.3581060414,21831.1128115652,19996.1532026696,22890.1283331448,21679.98037588,21215.2338391193,23814.0919354484,24046.2075982767,24451.5405250674,24418.5886421898,24681.3890039924,22475.3124342397,21854.5280320535,25762.3492392826,19346.9116802575,22204.7961630969,23714.7249698906,23568.9935949597,25402.5525494969,26558.2512741523,26985.6441155755,26363.178379665,25992.5292585326,25479.8513760967,23435.7539052236,22611.1534124189,23295.2583355813,22082.7150127614,23024.9921064365,22668.1785387127,22787.7839447346,24243.1383635802,21873.2605056027,23522.898864737,23321.931911608,22053.3236638688,25609.271058821,26654.599605023,21840.2860605843,22723.813925608,23800.7198847798,24283.4227853257,25036.3325783884,26780.0560158598,24404.3135054603,26239.8457390682,23123.0116130514
,70.8,19945.1481137547,20295.0417444767,21609.1276923244,20085.5631475377,20535.6683221917,21453.3568286166,21169.4246266297,21867.8546459402,22394.0377667383,20223.5229836847,21766.9130618555,16893.4244513734,20865.2595260585,23814.6248409293,21166.566105985,21184.9319157192,21859.0825261763,22463.0955557331,22138.4492461285,23202.7386847079,22297.8460152504,23949.6863225009,23914.7448943876,22312.2433886909,20436.1303108453,22484.9892074588,21775.5057289976,21547.6880148325,22347.2161776944,22519.8768583139,22320.1765885489,22455.8062657335,22865.3613341335,22278.997664597,23248.6434054137,21930.8332058339,22037.8010658079,23572.7833954916,21479.1649846851,23117.8559306231,25310.1835909265,24648.3489638237,24941.6383587996,24098.8779425684,24479.9767634837,24684.8270385344,24111.6074807837,21822.2140037343,19988.424696788,22911.6472324916,21673.3112288829,21209.8790779468,23825.344200778,24081.8138447415,24476.0251320667,24400.037921832,24726.5103052683,22481.3420652818,21874.8972279217,25885.7186744514,19352.989841237,22207.0437151489,23724.7491522843,23586.7049908597,25398.9099308197,26578.4430797606,27031.3988477723,26387.8020941796,26024.6328793921,25526.3222035299,23442.7234787354,22549.7671133091,23279.6170859367,22089.7677820558,23055.6972124017,22668.652972797,22804.6349638356,24311.3132554651,21887.4429238789,23563.5621468633,23371.8166497093,22067.0398387111,25624.8993113727,26859.3601842999,21840.576948545,22739.5015713404,23803.9060677726,24294.6163049637,25071.9005317883,26837.8962439097,24418.3296468186,26289.6955063,23113.0194047721
,70.9,19932.7623044708,20279.4570973223,21628.1772837989,20091.6825225176,20543.4124256448,21452.7069752178,21177.4564415868,21885.8351733273,22366.0705233466,20204.4778590538,21725.6682966069,16872.6478883386,20839.167744645,23777.8691925153,21135.3708926232,21165.3057479643,21845.1097618878,22419.8255509901,22134.5980351946,23194.396337533,22282.0442364582,23912.3022177547,23889.2170678635,22297.761841064,20415.9637609753,22458.2200566985,21758.3659892799,21544.1169328568,22331.1515102056,22506.1267215133,22295.2298413704,22470.6263761625,22843.193498255,22268.4785478454,23234.8332934693,21913.8354913182,21992.7068009919,23554.4859411163,21478.0998946992,23103.205473424,25268.4626278006,24633.9290625814,24901.5485732829,24108.6314367606,24479.2986496302,24680.7479141544,24120.8634114313,21807.4789912915,19974.8748518793,22909.9739927865,21654.8296576413,21199.985468367,23816.1006623869,24095.3925550606,24478.2154559716,24360.3428837254,24734.4831455308,22477.7349287125,21880.0076786226,25946.3952188387,19344.4461270423,22198.5019888536,23712.5365424538,23580.7509210362,25372.0715838487,26558.5720063002,27023.8646081794,26362.3717045429,26023.7987252745,25544.4589950856,23434.7171262945,22482.727387554,23239.8858504255,22087.8304938224,23053.5408283141,22660.0427846883,22805.9255911083,24338.7357438104,21894.8013222917,23576.8729356065,23394.9847035385,22070.8173404822,25598.7581056043,27000.2735778191,21835.1610058475,22741.4134360316,23796.6287774278,24295.5595831099,25082.9809047274,26844.7332485006,24416.605712806,26308.5056637265,23094.5553776395
