Sample,proportion,sampletype,generation,competid,population,env,Cq
A1,1,std,NA,NA,NA,NA,27.3608763662416
A2,0.9,std,NA,NA,NA,NA,27.0312664636111
A3,0.8,std,NA,NA,NA,NA,26.715647617579
A4,0.7,std,NA,NA,NA,NA,26.6227684039985
A5,0.6,std,NA,NA,NA,NA,26.9816760077247
A6,0.5,std,NA,NA,NA,NA,26.1397851723451
A7,0.4,std,NA,NA,NA,NA,26.1476337132921
A8,0.3,std,NA,NA,NA,NA,25.9183344123435
A9,0.2,std,NA,NA,NA,NA,26.2000558846093
A10,0.1,std,NA,NA,NA,NA,26.4049299681117
A11,0,std,NA,NA,NA,NA,26.6783768225194
A12,NA,negcont,NA,NA,NA,NA,34.7781962360452
B1,1,std,NA,NA,NA,NA,27.3833675064537
B2,0.9,std,NA,NA,NA,NA,26.8350106819527
B3,0.8,std,NA,NA,NA,NA,27.2338476517459
B4,0.7,std,NA,NA,NA,NA,27.287502064866
B5,0.6,std,NA,NA,NA,NA,27.0410181054643
B6,0.5,std,NA,NA,NA,NA,27.0789778725795
B7,0.4,std,NA,NA,NA,NA,26.5430711874513
B8,0.3,std,NA,NA,NA,NA,26.3075924313886
B9,0.2,std,NA,NA,NA,NA,26.1080964513873
B10,0.1,std,NA,NA,NA,NA,25.4009430061434
B11,0,std,NA,NA,NA,NA,25.7634207920169
B12,1,poscont,NA,NA,NA,NA,26.8996377748678
C1,NA,sample,1,1,1,0.015,28.5583647866709
C2,NA,sample,1,1,2,0.015,28.6257355961559
C3,NA,sample,1,1,3,0.015,29.5193350989084
C4,NA,sample,1,1,4,0.015,29.475878263385
C5,NA,sample,1,1,5,0.015,28.8289806004211
C6,NA,sample,1,1,6,1.5,27.622644202883
C7,NA,sample,1,1,7,1.5,27.4225190345554
C8,NA,sample,1,1,8,1.5,27.4091365106198
C9,NA,sample,1,1,9,1.5,26.7218680494943
C10,NA,sample,1,1,10,1.5,27.0943185844133
C11,NA,sample,0,1,NA,NA,29.2396274522607
C12,NA,sample,0,7,NA,NA,30.2503413032106
D1,NA,sample,1,2,11,0.015,28.7525496611879
D2,NA,sample,1,2,12,0.015,30.1160216163991
D3,NA,sample,1,2,13,0.015,29.5944363704215
D4,NA,sample,1,2,14,0.015,29.6967241424009
D5,NA,sample,1,2,15,0.015,29.2503540314481
D6,NA,sample,1,2,16,1.5,27.5064474524965
D7,NA,sample,1,2,17,1.5,26.8749170715183
D8,NA,sample,1,2,18,1.5,27.4047761227147
D9,NA,sample,1,2,19,1.5,27.1509458803499
D10,NA,sample,1,2,20,1.5,27.0704683968167
D11,NA,sample,0,2,NA,NA,29.1467311317415
D12,NA,sample,0,8,NA,NA,29.769851047517
E1,NA,sample,1,3,21,0.015,28.9779199810018
E2,NA,sample,1,3,22,0.015,28.1694239332779
E3,NA,sample,1,3,23,0.015,29.0492896929719
E4,NA,sample,1,3,24,0.015,28.9239043448891
E5,NA,sample,1,3,25,0.015,28.5826303574617
E6,NA,sample,1,3,26,1.5,27.3067085885482
E7,NA,sample,1,3,27,1.5,27.1387009101444
E8,NA,sample,1,3,28,1.5,26.9985800121075
E9,NA,sample,1,3,29,1.5,26.8800836660121
E10,NA,sample,1,3,30,1.5,28.0322007897371
E11,NA,sample,0,3,NA,NA,29.3300558492615
E12,0,poscont,NA,NA,NA,NA,25.9081121328394
F1,NA,sample,1,4,31,0.015,29.4604814285024
F2,NA,sample,1,4,32,0.015,29.5017107438235
F3,NA,sample,1,4,33,0.015,29.503435396554
F4,NA,sample,1,4,34,0.015,29.9895508664201
F5,NA,sample,1,4,35,0.015,29.4827492836137
F6,NA,sample,1,4,36,1.5,27.3632760223296
F7,NA,sample,1,4,37,1.5,28.0083235827959
F8,NA,sample,1,4,38,1.5,27.0213304441408
F9,NA,sample,1,4,39,1.5,27.6084477908155
F10,NA,sample,1,4,40,1.5,27.1646827363679
F11,NA,sample,0,4,NA,NA,29.3328639139405
G1,NA,sample,1,5,41,0.015,29.1200794418215
G2,NA,sample,1,5,42,0.015,28.9550526533941
G3,NA,sample,1,5,43,0.015,29.1206723817249
G4,NA,sample,1,5,44,0.015,29.2008432213236
G5,NA,sample,1,5,45,0.015,29.0936193747159
G6,NA,sample,1,5,46,1.5,27.4288295935581
G7,NA,sample,1,5,47,1.5,27.7644652601734
G8,NA,sample,1,5,48,1.5,27.1665930913697
G9,NA,sample,1,5,49,1.5,27.6850006324798
G10,NA,sample,1,5,50,1.5,27.3740526607961
G11,NA,sample,0,5,NA,NA,28.9738213385548
H1,NA,sample,1,6,51,0.015,29.3164460598912
H2,NA,sample,1,6,52,0.015,29.3144441079822
H3,NA,sample,1,6,53,0.015,29.6575390294689
H4,NA,sample,1,6,54,0.015,29.7604236313207
H5,NA,sample,1,6,55,0.015,29.408996683303
H6,NA,sample,1,6,56,1.5,27.6004164068036
H7,NA,sample,1,6,57,1.5,27.1609272381664
H8,NA,sample,1,6,58,1.5,26.8216635573758
H9,NA,sample,1,6,59,1.5,27.3747777443217
H10,NA,sample,1,6,60,1.5,27.1509681557968
H11,NA,sample,0,6,NA,NA,29.369992102924
