,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1
,70,16874.1807385604,15939.8182097591,17252.291267539,17020.0171372602,17030.2444118697,16191.8260352474,15972.8762024264,16473.3494421647,17185.5008036351,16934.0315079791,18200.1519738106,13382.0065123504,16327.1920429554,17269.3420487993,15632.1684169906,16674.7441005464,17152.220172187,16388.6822914324,16708.3126772671,17007.3045628346,16487.1908107231,17268.8778515247,17243.3402827961,16430.5639667786,17168.9965537665,17902.1983305333,17305.7639149568,18228.9259982693,16934.6847355411,18223.4791178865,16487.0846785081,16762.5224742931,16867.3805189314,16423.4332119786,17222.7476427833,16483.0813565342,17206.795468901,17589.0797562879,18308.5030236746,18494.4031120708,18398.6007841672,18428.8102539721,18201.8042871715,17491.7921169818,17279.1280564055,17361.0542999942,17202.0158710248,16551.6795865174,16992.0142488689,18174.2988981643,17863.0475774886,17853.3754498593,18584.1615421014,17168.3460771109,18143.2111758319,17419.1239424303,17229.0198066176,16350.7029066677,15585.0996757075,17059.3752698998,16284.6656086003,16515.8960263037,16175.6995775858,17041.2551888077,17674.8999276924,17539.8299320893,17987.78348342,14957.1760550265,17558.1413305645,15011.2607585925,16767.1184896512,16270.7534266872,15502.6720695856,16245.9743397735,16641.969144637,17447.8261921973,17585.0492684332,17003.0223272799,17372.267443148,16417.4456021838,16509.5464557462,16577.8664319441,15597.6704501794,16525.8906636396,14939.5142888043
,70.1,16901.5383435386,15939.1061973136,17348.8501451025,17152.9617571877,17116.0751166,16278.7463205088,16002.4588059369,16506.8300917222,17303.8335850868,17016.1802025187,18301.6944465718,13497.4510966223,16436.2572811292,17416.5123743042,15790.5250792808,16772.3592497994,17334.3208535094,16551.4329142214,16877.5023768881,17179.4493467258,16476.7752051542,17430.7580540512,17424.1492969362,16462.6207083269,17337.6122681851,18062.8880848919,17483.1486497259,18353.9071317085,17086.8416905967,18429.6197025991,16553.8195247055,16916.5360260509,17072.6100127145,16588.6849061766,17419.1024460704,16653.0429414426,17397.993619074,17740.0760552797,18463.1894829765,18652.1111772846,18580.8693801584,18611.8102130688,18312.09191451,17673.7959663173,17410.7314025035,17553.3501453077,17378.4491774292,16683.5200561431,17188.0146351689,18333.1646502405,18066.1789728403,18014.9476550312,18794.1333361419,17286.382855099,18290.5511054782,17536.5076639362,17401.8283145805,16520.2230554823,15644.8219903466,17185.8121815807,16483.0587618429,16703.7070277155,16281.3214867309,17214.9946279022,17888.0115516224,17743.3173789239,18137.1258011212,15139.0977769602,17691.4602048101,15168.4585848326,16952.8255054787,16426.1072636466,15719.3822973149,16409.4874221181,16825.6712256564,17647.6884090902,17764.8527756443,17221.8966487573,17575.2705395947,16635.693025642,16714.5891588726,16769.0438171077,15800.167000722,16621.0402043313,15092.6109546307
,70.2,16928.8959485168,15938.3941848682,17445.409022666,17285.9063771151,17201.9058213304,16365.6666057702,16032.0414094474,16540.3107412796,17422.1663665385,17098.3288970583,18403.2369193331,13612.8956808942,16545.3225193031,17563.6826998091,15948.881741571,16869.9743990524,17516.4215348318,16714.1835370105,17046.692076509,17351.5941306171,16466.3595995852,17592.6382565777,17604.9583110764,16494.6774498751,17506.2279826037,18223.5778392506,17660.5333844949,18478.8882651477,17238.9986456524,18635.7602873117,16620.5543709029,17070.5495778088,17277.8395064977,16753.9366003746,17615.4572493576,16823.004526351,17589.1917692469,17891.0723542714,18617.8759422784,18809.8192424985,18763.1379761497,18794.8101721655,18422.3795418486,17855.7998156528,17542.3347486015,17745.6459906212,17554.8824838337,16815.3605257688,17384.015021469,18492.0304023168,18269.3103681919,18176.5198602031,19004.1051301824,17404.4196330871,18437.8910351246,17653.8913854422,17574.6368225434,16689.7432042969,15704.5443049858,17312.2490932615,16681.4519150855,16891.5180291272,16386.9433958761,17388.7340669968,18101.1231755524,17946.8048257586,18286.4681188224,15321.0194988939,17824.7790790558,15325.6564110728,17138.5325213063,16581.4611006059,15936.0925250442,16573.0005044627,17009.3733066758,17847.550625983,17944.6562828555,17440.7709702348,17778.2736360415,16853.9404491004,16919.6318619991,16960.2212022712,16002.6635512647,16716.189745023,15245.7076204571
,70.3,16956.2535534949,15937.6821724227,17541.9679002294,17418.8509970426,17287.7365260607,16452.5868910316,16061.6240129579,16573.791390837,17540.4991479902,17180.4775915979,18504.7793920944,13728.3402651661,16654.387757477,17710.8530253141,16107.2384038612,16967.5895483054,17698.5222161542,16876.9341597995,17215.88177613,17523.7389145083,16455.9439940162,17754.5184591042,17785.7673252164,16526.7341914234,17674.8436970223,18384.2675936092,17837.9181192639,18603.8693985868,17391.155600708,18841.9008720243,16687.2892171003,17224.5631295666,17483.0690002808,16919.1882945726,17811.8120526448,16992.9661112595,17780.3899194199,18042.0686532632,18772.5624015803,18967.5273077123,18945.406572141,18977.8101312622,18532.6671691871,18037.8036649883,17673.9380946995,17937.9418359347,17731.315790238,16947.2009953945,17580.015407769,18650.896154393,18472.4417635435,18338.0920653751,19214.0769242229,17522.4564110752,18585.230964771,17771.2751069481,17747.4453305063,16859.2633531114,15764.2666196249,17438.6860049423,16879.8450683281,17079.3290305389,16492.5653050212,17562.4735060913,18314.2347994824,18150.2922725933,18435.8104365236,15502.9412208275,17958.0979533014,15482.8542373129,17324.2395371338,16736.8149375653,16152.8027527736,16736.5135868073,17193.0753876952,18047.4128428758,18124.4597900666,17659.6452917122,17981.2767324882,17072.1878725586,17124.6745651255,17151.3985874347,16205.1601018074,16811.3392857147,15398.8042862834
,70.4,16983.6111584731,15936.9701599773,17638.5267777929,17551.7956169701,17373.567230791,16539.5071762929,16091.2066164683,16607.2720403945,17658.831929442,17262.6262861376,18606.3218648557,13843.784849438,16763.4529956508,17858.023350819,16265.5950661514,17065.2046975583,17880.6228974766,17039.6847825885,17385.0714757509,17695.8836983996,16445.5283884472,17916.3986616307,17966.5763393566,16558.7909329716,17843.4594114409,18544.9573479679,18015.3028540329,18728.850532026,17543.3125557636,19048.0414567369,16754.0240632977,17378.5766813244,17688.298494064,17084.4399887707,18008.1668559319,17162.9276961679,17971.5880695928,18193.064952255,18927.2488608822,19125.2353729262,19127.6751681322,19160.8100903589,18642.9547965257,18219.8075143239,17805.5414407975,18130.2376812482,17907.7490966425,17079.0414650202,17776.015794069,18809.7619064693,18675.5731588952,18499.664270547,19424.0487182635,17640.4931890633,18732.5708944174,17888.6588284541,17920.2538384693,17028.783501926,15823.988934264,17565.1229166232,17078.2382215708,17267.1400319507,16598.1872141663,17736.2129451858,18527.3464234124,18353.7797194279,18585.1527542248,15684.8629427612,18091.4168275471,15640.052063553,17509.9465529613,16892.1687745246,16369.5129805029,16900.026669152,17376.7774687146,18247.2750597687,18304.2632972778,17878.5196131896,18184.2798289349,17290.4352960169,17329.717268252,17342.5759725982,16407.6566523501,16906.4888264063,15551.9009521098
,70.5,17010.9687634506,15936.258147532,17735.0856553572,17684.7402368988,17459.3979355201,16626.4274615544,16120.789219977,16640.7526899503,17777.1647108937,17344.774980678,18707.8643376164,13959.2294337095,16872.5182338268,18005.1936763245,16423.9517284422,17162.8198468119,18062.7235787977,17202.4354053785,17554.261175372,17868.0284822908,16435.1127828778,18078.2788641551,18147.3853534964,16590.8476745193,18012.0751258594,18705.6471023275,18192.6875888013,18853.8316654645,17695.4695108193,19254.1820414496,16820.7589094956,17532.5902330814,17893.5279878466,17249.6916829692,18204.5216592179,17332.8892810761,18162.7862197672,18344.0612512458,19081.935320185,19282.9434381414,19309.9437641241,19343.8100494541,18753.2424238631,18401.8113636576,17937.1447868946,18322.5335265624,18084.1824030457,17210.8819346445,17972.0161803711,18968.627658545,18878.7045542449,18661.2364757182,19634.0205123022,17758.529967051,18879.9108240627,18006.04254996,18093.0623464314,17198.3036507385,15883.7112489047,17691.5598283033,17276.6313748147,17454.9510333624,16703.8091233124,17909.9523842788,18740.4580473439,18557.2671662644,18734.4950719253,15866.7846646957,18224.7357017942,15797.2498897936,17695.6535687895,17047.5226114855,16586.2232082313,17063.5397514948,17560.4795497325,18447.1372766626,18484.0668044888,18097.3939346673,18387.282925381,17508.6827194757,17534.7599713783,17533.7533577619,16610.1532028932,17001.6383670992,15704.9976179359
,70.6,17038.3263684288,15935.5461350865,17831.6445329206,17817.6848568262,17545.2286402504,16713.3477468157,16150.3718234875,16674.2333395077,17895.4974923454,17426.9236752176,18809.4068103777,14074.6740179814,16981.5834720006,18152.3640018294,16582.3083907324,17260.4349960649,18244.82426012,17365.1860281675,17723.4508749929,18040.1732661821,16424.6971773088,18240.1590666816,18328.1943676365,16622.9044160676,18180.690840278,18866.3368566862,18370.0723235703,18978.8127989036,17847.6264658749,19460.3226261622,16887.493755693,17686.6037848392,18098.7574816297,17414.9433771672,18400.876462505,17502.8508659845,18353.9843699401,18495.0575502375,19236.6217794869,19440.6515033552,19492.2123601153,19526.8100085508,18863.5300512016,18583.8152129931,18068.7481329926,18514.8293718759,18260.6157094501,17342.7224042702,18168.0165666711,19127.4934106213,19081.8359495965,18822.8086808901,19843.9923063427,17876.5667450391,19027.2507537091,18123.4262714659,18265.8708543943,17367.8237995531,15943.4335635438,17817.9967399842,17475.0245280573,17642.7620347741,16809.4310324575,18083.6918233733,18953.5696712739,18760.754613099,18883.8373896265,16048.7063866294,18358.0545760398,15954.4477160337,17881.360584617,17202.8764484448,16802.9334359606,17227.0528338394,17744.1816307519,18646.9994935554,18663.8703117,18316.2682561447,18590.2860218277,17726.930142934,17739.8026745047,17724.9307429254,16812.6497534359,17096.7879077909,15858.0942837622
,70.7,17036.8703898438,15924.6854710784,17886.4199262766,17912.3531389259,17609.2477613738,16775.9911535903,16172.4272615847,16689.9227696499,17978.7120112567,17471.2340326567,18855.4356231279,14148.4986879336,17052.4681274572,18241.813134444,16692.0532510338,17323.2917080993,18373.4768137265,17474.8893536773,17833.4063862343,18158.1760227594,16408.5303832375,18361.1178628609,18474.3837846249,16635.8253720903,18297.5510485143,18969.3831310143,18490.7800057173,19043.887848506,17947.6541678496,19618.6444882175,16930.1738785233,17783.9120776258,18269.3438202742,17538.2039344535,18570.1002068208,17636.7479756077,18500.484817134,18590.3949664247,19327.6117618994,19537.5254957642,19619.5201308013,19650.8303547069,18918.2770927214,18706.5272015373,18142.8816794024,18677.3815214467,18403.5661969907,17429.1520320998,18335.9174483571,19226.3575688004,19223.3824902,18929.0608257531,20001.1951610029,17941.8856476273,19120.0729324614,18197.3289853492,18387.0073677424,17495.1094744359,15986.1231017753,17891.7181663887,17640.9503846221,17786.2465478989,16884.9840463491,18202.1381618198,19126.5131551133,18926.2631128757,18973.9651125188,16207.1768096563,18433.959154954,16080.8703692573,18022.6132250745,17313.6664590418,16995.1709923033,17343.732718158,17883.2551328118,18796.1693762726,18798.1463046288,18528.8630209975,18752.1569823023,17908.231316447,17908.6517891337,17878.8913115093,16974.8638615927,17141.5057763833,15955.3406563613
,70.8,17016.3321290549,15905.6721400323,17903.6087121049,17966.2215789814,17653.6844700238,16813.7365432982,16186.6787975936,16690.182223137,18025.0997508819,17483.0671470928,18856.0571590939,14183.9125127978,17089.0219962637,18280.1120249378,16752.6978849454,17354.5459128887,18447.7940188588,17531.2344898809,17887.2463006884,18221.5528979216,16387.5927146522,18434.4576570337,18572.5553116055,16635.2584433763,18363.0323238753,19017.1598350823,18555.8328204437,19059.5442522162,17997.881034702,19719.648037356,16954.0377619003,17829.0180993559,18390.0436492245,17613.3794854944,18697.8533676092,17726.8846057644,18592.6969755146,18631.9297428939,19359.2682215725,19576.9520779645,19687.8005751829,19714.2972053003,18927.8449740213,18770.2784977652,18167.477273467,18792.9208382456,18498.7194146823,17472.3422060175,18459.4191533684,19269.3303749806,19302.7289246614,18982.8401162773,20099.2575668847,17961.530206371,19162.4811741007,18232.6449202887,18455.3305639164,17575.8496928148,16015.1515941543,17920.3563304084,17758.9561121061,17877.2134244345,16931.9926824399,18263.9348609911,19244.2590012835,19040.0593366656,19008.8186695104,16324.2789726626,18459.0644171928,16164.6482112906,18110.2834240675,17376.9550271574,17144.7563845383,17410.9777115072,17969.7953237092,18887.871846761,18880.4222691263,18713.2103922682,18862.4814838347,18037.6797115365,18027.012119612,17984.3491814265,17084.9907119777,17148.071890961,16000.2205190064
,70.9,16983.8546492524,15879.9247934338,17893.6643364075,17983.1775300236,17678.5503962399,16828.5391789503,16193.1070969165,16675.6726475158,18037.8241625121,17469.9462092795,18824.5093694041,14189.2098096006,17097.7171225525,18277.6594330608,16772.0849870404,17359.7429815152,18473.4025369459,17543.1461238108,17894.788976467,18237.7091904114,16361.6505291996,18464.2632375994,18623.2048620616,16622.597525636,18382.5520342178,19019.1759456739,18572.2257563259,19040.3281925816,18007.6496912153,19765.1361571101,16964.3550903758,17832.5948593523,18457.8578681614,17645.7394680948,18775.1812002979,17775.4109510843,18633.635695894,18630.8400214137,19345.6283505489,19570.1980866748,19703.8682551432,19725.9790859451,18906.5816772106,18785.355846645,18155.6856197233,18857.7109647979,18546.5345098163,17480.5303710061,18531.8743785369,19266.8944199991,19328.2733736423,18992.7290588267,20142.6182678503,17948.3507193323,19164.8549419074,18237.9937077765,18478.4137171171,17616.6120210076,16032.8610969588,17915.2583191175,17826.9353505454,17918.6745427601,16955.013146274,18277.0923714837,19306.7679990731,19101.1288116079,19001.0302515363,16395.9115004358,18446.5021645942,16206.2120171471,18149.4843267094,17398.926032437,17241.5481883331,17434.8595223412,18006.8079205535,18924.9286170246,18913.7482442848,18849.9883805728,18919.6674564213,18114.3373748511,18093.8527297137,18040.2574074438,17144.3364179639,17130.7979282215,16001.8471698309
