Plate,Well,R,Time,total,germinated,tube,condition,parental_env,germ_env,obs
1,A1,R1,1,96,1,1,1,1.5,1.5,1
1,A1,R2,1,82,6,1,1,1.5,1.5,1
1,A1,R3,1,108,2,1,1,1.5,1.5,1
1,A1,R1,2,100,6,1,1,1.5,1.5,1
1,A1,R2,2,99,6,1,1,1.5,1.5,1
1,A1,R3,2,96,9,1,1,1.5,1.5,1
1,A1,R1,3,100,55,1,1,1.5,1.5,1
1,A1,R2,3,81,32,1,1,1.5,1.5,1
1,A1,R3,3,87,40,1,1,1.5,1.5,1
1,A1,R1,4,59,49,1,1,1.5,1.5,1
1,A1,R2,4,71,58,1,1,1.5,1.5,1
1,A1,R3,4,71,65,1,1,1.5,1.5,1
1,A1,R1,5,73,65,1,1,1.5,1.5,1
1,A1,R2,5,63,55,1,1,1.5,1.5,1
1,A1,R3,5,66,63,1,1,1.5,1.5,1
1,A2,R1,1,91,1,6,1,1.5,1.5,1
1,A2,R2,1,94,1,6,1,1.5,1.5,1
1,A2,R3,1,115,3,6,1,1.5,1.5,1
1,A2,R1,2,89,6,6,1,1.5,1.5,1
1,A2,R2,2,107,6,6,1,1.5,1.5,1
1,A2,R3,2,118,11,6,1,1.5,1.5,1
1,A2,R1,3,83,48,6,1,1.5,1.5,1
1,A2,R2,3,83,32,6,1,1.5,1.5,1
1,A2,R3,3,111,37,6,1,1.5,1.5,1
1,A2,R1,4,57,34,6,1,1.5,1.5,1
1,A2,R2,4,88,73,6,1,1.5,1.5,1
1,A2,R3,4,86,74,6,1,1.5,1.5,1
1,A2,R1,5,65,57,6,1,1.5,1.5,1
1,A2,R2,5,67,56,6,1,1.5,1.5,1
1,A2,R3,5,83,74,6,1,1.5,1.5,1
1,A3,R1,1,84,2,8,4,0.015,1.5,1
1,A3,R2,1,105,2,8,4,0.015,1.5,1
1,A3,R3,1,183,3,8,4,0.015,1.5,1
1,A3,R1,2,89,1,8,4,0.015,1.5,1
1,A3,R2,2,100,6,8,4,0.015,1.5,1
1,A3,R3,2,188,6,8,4,0.015,1.5,1
1,A3,R1,3,81,12,8,4,0.015,1.5,1
1,A3,R2,3,100,23,8,4,0.015,1.5,1
1,A3,R3,3,151,42,8,4,0.015,1.5,1
1,A3,R1,4,57,27,8,4,0.015,1.5,1
1,A3,R2,4,81,28,8,4,0.015,1.5,1
1,A3,R3,4,122,79,8,4,0.015,1.5,1
1,A3,R1,5,70,63,8,4,0.015,1.5,1
1,A3,R2,5,84,77,8,4,0.015,1.5,1
1,A3,R3,5,97,86,8,4,0.015,1.5,1
1,A4,R1,1,45,0,12,4,0.015,1.5,1
1,A4,R2,1,60,0,12,4,0.015,1.5,1
1,A4,R3,1,106,0,12,4,0.015,1.5,1
1,A4,R1,2,45,0,12,4,0.015,1.5,1
1,A4,R2,2,89,1,12,4,0.015,1.5,1
1,A4,R3,2,123,2,12,4,0.015,1.5,1
1,A4,R1,3,41,3,12,4,0.015,1.5,1
1,A4,R2,3,85,25,12,4,0.015,1.5,1
1,A4,R3,3,111,23,12,4,0.015,1.5,1
1,A4,R1,4,40,15,12,4,0.015,1.5,1
