Standard,Raw-reads,blank_corrected,control_reads,amount,treatment
A,0.0524,-0.0006,-0.0006,0,standard
A,0.0536,0.0006,0.0006,0,standard
B,0.2408,0.1878,0.1878,0.4,standard
B,0.2534,0.2004,0.2004,0.4,standard
C,0.456,0.403,0.403,0.8,standard
C,0.4444,0.3914,0.3914,0.8,standard
D,0.6745,0.6215,0.6215,1.2,standard
D,0.6763,0.6233,0.6233,1.2,standard
E,0.8956,0.8426,0.8426,1.6,standard
E,0.8694,0.8164,0.8164,1.6,standard
F,1.1457,1.0927,1.0927,2,standard
F,1.1543,1.1013,1.1013,2,standard
T1_1.5%,0.8468,0.7938,0.475,,1.5%
T1_1.5%,0.8789,0.8259,0.5071,,1.5%
T2_1.5%,0.8241,0.7711,0.4803,,1.5%
T2_1.5%,0.8246,0.7716,0.4808,,1.5%
T3_1.5%,0.7525,0.6995,0.3558,,1.5%
T3_1.5%,0.6659,0.6129,0.2692,,1.5%
T4_1.5%,0.7019,0.6489,0.3633,,1.5%
T4_1.5%,0.7283,0.6753,0.3897,,1.5%
T5_1.5%,0.7812,0.7282,0.4118,,1.5%
T5_1.5%,0.8363,0.7833,0.4669,,1.5%
T6_1.5%,0.7395,0.6865,0.4663,,1.5%
T6_1.5%,0.7061,0.6531,0.4329,,1.5%
T7_1.5%,0.8024,0.7494,0.5066,,1.5%
T7_1.5%,0.7927,0.7397,0.4969,,1.5%
T8_1.5%,0.7152,0.6622,0.4045,,1.5%
T8_1.5%,0.719,0.666,0.4083,,1.5%
T11_0.015%,0.3365,0.2835,0.1254,,0.015%
T11_0.015%,0.3206,0.2676,0.1095,,0.015%
T12_0.015%,0.3436,0.2906,0.1366,,0.015%
T12_0.015%,0.3203,0.2673,0.1133,,0.015%
T13_0.015%,0.4114,0.3584,0.2301,,0.015%
T13_0.015%,0.4109,0.3579,0.2296,,0.015%
T14_0.015%,0.3424,0.2894,0.157,,0.015%
T14_0.015%,0.3723,0.3193,0.1869,,0.015%
T15_0.015%,0.405,0.352,0.1712,,0.015%
T15_0.015%,0.4182,0.3652,0.1844,,0.015%
T16_0.015%,0.4969,0.4439,0.2658,,0.015%
T16_0.015%,0.5034,0.4504,0.2723,,0.015%
T17_0.015%,0.5997,0.5467,0.3596,,0.015%
T17_0.015%,0.6327,0.5797,0.3926,,0.015%
T18_0.015%,0.6217,0.5687,0.3121,,0.015%
T18_0.015%,0.6325,0.5795,0.3229,,0.015%
T1_control,0.3718,0.3188,,,0.015%
T2_control,0.3438,0.2908,,,0.015%
T3_control,0.3967,0.3437,,,0.015%
T4_control,0.3386,0.2856,,,0.015%
T5_control,0.3694,0.3164,,,0.015%
T6_control,0.2732,0.2202,,,0.015%
T7_control,0.2958,0.2428,,,0.015%
T8_control,0.3107,0.2577,,,0.015%
T11_control,0.2111,0.1581,,,0.015%
T12_control,0.207,0.154,,,0.015%
T13_control,0.1813,0.1283,,,0.015%
T14_control,0.1854,0.1324,,,0.015%
T15_control,0.2338,0.1808,,,0.015%
T16_control,0.2311,0.1781,,,0.015%
T17_control,0.2401,0.1871,,,0.015%
T18_control,0.3096,0.2566,,,0.015%
