Experiment,date started,generation,f1_sucrose,tube,replicate,p_sucrose,condition,Time_1,Time_2,Time_3,spore_volume,spore_diam,mean_colonies,growth_measured,efficiency,Operator
Exp1,23.11.20,F2,1.5,1,1,1.5,C1,25,26,48,74.79,4.96,50.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1,2,1.5,C1,22.5,35,46,74.79,4.96,50.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1,3,1.5,C1,22.5,35.5,47,74.79,4.96,50.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,2,1,1.5,C1,27,41,50,82.88,5.1,26,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,2,2,1.5,C1,26,32.5,48.5,82.88,5.1,26,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,2,3,1.5,C1,25,39,48,82.88,5.1,26,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,1,1.5,C1,25,34,42.5,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,2,1.5,C1,23.5,36.5,46,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,3,1.5,C1,25,38,49.5,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,4,1.5,C1,23,37,46,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1,1,0.015,C2,20,30,38.5,74.79,4.96,50.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1,2,0.015,C2,12,26,35,74.79,4.96,50.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1,3,0.015,C2,23,33,45,74.79,4.96,50.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,2,1,0.015,C2,12,26,38,82.88,5.1,26,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,2,2,0.015,C2,17,21,36.5,82.88,5.1,26,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,2,3,0.015,C2,19.5,29,38.5,82.88,5.1,26,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,1,0.015,C2,18,28,39,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,2,0.015,C2,19,29,39,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,3,0.015,C2,18,27,36,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,3,4,0.015,C2,21,32.5,42,80.49,5.03,41.66667,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,4,1,1.5,C4,16,25,36.5,63.01,4.61,36.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,4,2,1.5,C4,15,24,33.5,63.01,4.61,36.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,4,3,1.5,C4,18,31,41,63.01,4.61,36.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,5,1,1.5,C4,16,21,37,69.71,4.72,37.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,5,2,1.5,C4,16.5,30,39,69.71,4.72,37.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,5,3,1.5,C4,16,23,36,69.71,4.72,37.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,1,1.5,C4,12,23,30,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,2,1.5,C4,14,23,35.5,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,3,1.5,C4,17.5,30,42,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,4,1.5,C4,14,25,39,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,4,1,0.015,C3,16.5,26,35,63.01,4.61,36.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,4,2,0.015,C3,13,22,31,63.01,4.61,36.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,4,3,0.015,C3,15.5,25,34,63.01,4.61,36.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,5,1,0.015,C3,12.5,20,29,69.71,4.72,37.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,5,2,0.015,C3,14,24,31,69.71,4.72,37.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,5,3,0.015,C3,14.5,24,32.5,69.71,4.72,37.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,1,0.015,C3,12,29,38,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,2,0.015,C3,14.5,26,35,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,3,0.015,C3,12,22,30.5,68.36,4.72,27.33333,27.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,6,4,0.015,C3,14,23,32.5,68.36,4.72,27.33333,27.11.20,n,Mariana
