Experiment,date_start,generation,g_sucrose,F1,F2,condition,Tube,replicate,tube_rep,number_colonies,date_plated,date_count,efficiency,operator
Exp1,23.11.20,F2,1.5,1.5,NA,C1,1,1,T1_1,38,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,1,2,T1_2,62,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,1,3,T1_3,52,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,2,1,T2_1,36,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,2,2,T2_2,16,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,2,3,T2_3,26,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,3,1,T3_1,41,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,3,2,T3_2,42,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,1.5,1.5,NA,C1,3,3,T3_3,42,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,4,1,T1_1,41,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,4,2,T1_2,38,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,4,3,T1_3,30,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,5,1,T2_1,30,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,5,2,T2_2,40,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,5,3,T2_3,42,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,6,1,T3_1,19,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,6,2,T3_2,35,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F2,0.015,0.015,NA,C3,6,3,T3_3,28,26.11.20,30.11.20,n,Mariana
Exp1,23.11.20,F3,1.5,1.5,1.5,C1,7,1,T1_1,23,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,1.5,1.5,C1,8,1,T2_1,28,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,1.5,1.5,C1,9,1,T3_1,43,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,1.5,1.5,C1,9,2,T3_2,38,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,1.5,0.015,C2,10,1,T1_1,10,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,1.5,0.015,C2,10,2,T1_2,23,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,1.5,0.015,C2,11,1,T2_1,29,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,1.5,0.015,C2,11,2,T2_2,18,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,1.5,0.015,C2,12,1,T3_1,19,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,0.015,0.015,C3,13,1,T1_1,26,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,0.015,0.015,C3,13,2,T1_2,34,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,0.015,0.015,C3,14,1,T2_1,21,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,0.015,0.015,C3,15,2,T3_2,17,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,0.015,0.015,0.015,C3,15,1,T3_1,33,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,0.015,1.5,C4,16,1,T1_1,32,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,0.015,1.5,C4,16,2,T1_2,33,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,0.015,1.5,C4,17,1,T2_1,25,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,0.015,1.5,C4,18,1,T3_1,39,30.11.20,03.12.20,n,Mariana
Exp1,23.11.20,F3,1.5,0.015,1.5,C4,18,2,T3_2,48,30.11.20,03.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,19,1,T1_1,36,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,19,2,T1_2,32,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,19,3,T1_3,44,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,20,1,T2_1,25,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,20,2,T2_2,44,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,20,3,T2_3,43,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,21,1,T3_1,43,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,21,2,T3_2,34,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,1.5,1.5,NA,C1,21,3,T3_3,51,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,22,1,T1_1,31,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,22,2,T1_2,39,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,22,3,T1_3,31,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,23,1,T2_1,46,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,23,2,T2_2,45,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,23,3,T2_3,51,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,24,1,T3_1,39,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,24,2,T3_2,47,20.11.20,23.12.20,n,Mariana
Exp2,14.12.20,F2,0.015,0.015,NA,C3,24,3,T3_3,57,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,25,1,T1_1,53,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,25,2,T1_2,46,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,25,3,T1_3,56,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,26,1,T2_1,40,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,26,2,T2_2,39,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,26,3,T2_3,38,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,27,1,T3_1,39,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,27,2,T3_2,40,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,1.5,1.5,C1,27,3,T3_3,33,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,28,1,T1_1,46,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,28,2,T1_2,49,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,28,3,T1_3,44,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,29,1,T2_1,39,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,29,2,T2_2,35,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,29,3,T2_3,32,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,30,1,T3_1,41,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,30,2,T3_2,41,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,1.5,0.015,C2,30,3,T3_3,37,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,31,1,T1_1,36,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,31,2,T1_2,29,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,31,3,T1_3,45,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,32,1,T2_1,33,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,32,2,T2_2,37,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,32,3,T2_3,38,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,33,1,T3_1,43,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,33,2,T3_2,35,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,33,3,T3_3,42,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,0.015,0.015,0.015,C3,34,1,T1_1,41,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,34,2,T1_2,43,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,34,3,T1_3,36,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,35,1,T2_1,50,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,35,2,T2_2,32,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,35,3,T2_3,45,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,36,1,T3_1,36,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,36,2,T3_2,40,23.11.20,26.12.20,n,Mariana
Exp2,14.12.20,F3,1.5,0.015,1.5,C4,36,3,T3_3,33,23.11.20,26.12.20,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,37,1,T1_1,41,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,37,2,T1_2,33,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,37,3,T1_3,40,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,38,1,T2_1,40,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,38,2,T2_2,43,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,38,3,T2_3,40,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,39,1,T3_1,50,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,39,2,T3_2,50,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,1.5,1.5,NA,C1,39,3,T3_3,33,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,40,1,T1_1,33,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,40,2,T1_2,46,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,40,3,T1_3,36,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,41,1,T2_1,31,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,41,2,T2_2,35,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,41,3,T2_3,33,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,42,1,T3_1,44,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,42,2,T3_2,38,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F2,0.015,0.015,NA,C3,42,3,T3_3,32,18.01.21,21.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,43,1,T1_1,24,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,43,2,T1_2,53,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,43,3,T1_3,39,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,44,1,T2_1,45,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,44,2,T2_2,56,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,44,3,T2_3,49,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,45,1,T3_1,28,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,45,2,T3_2,36,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,1.5,1.5,C1,45,3,T3_3,42,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,46,1,T1_1,36,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,46,2,T1_2,33,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,46,3,T1_3,26,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,47,1,T2_1,24,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,47,2,T2_2,29,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,47,3,T2_3,23,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,48,1,T3_1,30,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,48,2,T3_2,31,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,1.5,0.015,C2,48,3,T3_3,42,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,49,1,T1_1,32,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,49,2,T1_2,51,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,49,3,T1_3,41,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,50,1,T2_1,36,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,50,2,T2_2,50,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,50,3,T2_3,26,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,51,1,T3_1,27,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,51,2,T3_2,38,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,51,3,T3_3,49,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,0.015,0.015,0.015,C3,52,1,T1_1,39,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,52,2,T1_2,44,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,52,3,T1_3,31,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,53,1,T2_1,45,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,53,2,T2_2,36,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,53,3,T2_3,44,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,54,1,T3_1,43,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,54,2,T3_2,38,21.01.21,24.01.21,n,Mariana
Exp3,12.01.21,F3,1.5,0.015,1.5,C4,54,3,T3_3,46,21.01.21,24.01.21,n,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,55,1,T1_1,35,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,55,2,T1_2,43,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,55,3,T1_3,41,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,56,1,T2_1,40,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,56,2,T2_2,38,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,56,3,T2_3,39,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,57,1,T3_1,45,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,57,2,T3_2,44,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,1.5,1.5,NA,C1,57,3,T3_3,47,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,58,1,T1_1,41,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,58,2,T1_2,34,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,58,3,T1_3,43,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,59,1,T2_1,37,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,59,2,T2_2,43,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,59,3,T2_3,37,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,60,1,T3_1,33,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,60,2,T3_2,32,22.01.21,26.01.21,y,Mariana
Exp4,16.02.21,F2,0.015,0.015,NA,C3,60,3,T3_3,35,22.01.21,26.01.21,y,Mariana
