Geneid	Chr	Start	End	Strand	Length	/scratch/project_2000350/genomics/rna-seq/bam/S1_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S2_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S4_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S6_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_1_5.bam
NCU00003	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2239943;2240077;2241471	2240011;2241254;2241684	+;+;+	1461	186	213	481	482	229	418	501	257	500	228	540	168
NCU00004	Supercontig_12.3;Supercontig_12.3	2242245;2242935	2242867;2244101	+;+	1790	384	349	576	687	405	495	754	428	659	383	681	372
NCU00005	Supercontig_12.3	2244762	2247195	+	2434	317	256	391	470	248	386	466	351	426	355	488	278
NCU00006	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2249087;2249090;2249887;2249887;2251591;2251591;2251730;2251730;2252492;2252492;2253090	2249821;2249821;2251530;2251530;2251664;2251664;2252227;2251882;2252908;2252973;2254054	-;-;-;-;-;-;-;-;-;-;-	4398	2371	3224	973	1128	3042	1045	1311	2862	1093	2852	1139	2634
NCU00007	Supercontig_12.3	2256790	2260238	+	3449	639	817	547	712	736	507	639	941	658	836	685	677
NCU00008	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2261281;2262097;2262894	2262018;2262828;2264004	+;+;+	2581	109	158	964	1285	139	919	1159	208	1354	239	1264	160
NCU00009	Supercontig_12.3;Supercontig_12.3	2264746;2265260	2264972;2265323	-;-	291	0	0	2	0	0	0	0	0	0	1	2	0
NCU00010	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2266554;2268495;2270751;2271408	2268435;2270668;2271159;2272856	-;-;-;-	5914	5775	7074	2848	4269	7067	4549	4417	7771	4468	7990	3904	7013
NCU00011	Supercontig_12.3;Supercontig_12.3	2274917;2275319	2275157;2275380	-;-	303	2	4	8	17	7	18	12	2	13	8	16	7
NCU00013	Supercontig_12.3;Supercontig_12.3	2282649;2283151	2282905;2283238	-;-	345	3	0	0	2	2	0	2	0	0	1	4	0
NCU00014	Supercontig_12.3;Supercontig_12.3	2284545;2285106	2285026;2286517	+;+	1894	573	724	679	917	819	870	1018	918	958	847	900	691
NCU00015	Supercontig_12.3;Supercontig_12.3	2286326;2287478	2287288;2288146	-;-	1632	9520	10415	1759	2023	7582	1690	1767	8637	1609	8285	1703	8880
NCU00017	Supercontig_12.3;Supercontig_12.3	2296472;2299062	2298933;2299365	-;-	2766	24	26	10	8	6	7	11	30	16	20	18	60
NCU00018	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2306105;2306378;2306683;2306683;2306777;2306777;2306887;2306887;2307203;2307203;2308754;2308754;2309487	2306590;2306590;2306710;2306710;2306832;2306832;2307136;2307136;2308694;2308694;2309826;2309410;2309701	+;+;+;+;+;+;+;+;+;+;+;+;+	3385	4600	4194	8028	9616	4408	7172	8745	4810	8554	4587	9333	3255
NCU00019	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2311586;2312694;2313592;2314721	2312635;2313526;2314602;2315645	-;-;-;-	3819	180	217	314	490	209	351	386	257	435	320	465	201
NCU00021	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2316983;2321240;2321598	2321179;2321403;2322094	-;-;-	4858	1257	1561	658	868	1666	988	1763	1805	1037	1498	956	1203
NCU00022	Supercontig_12.3	2322491	2326125	+	3635	63	102	131	175	117	157	151	112	189	132	183	92
NCU00023	Supercontig_12.3;Supercontig_12.3	2329756;2331299	2331236;2332744	+;+	2927	5799	5969	5158	6698	5727	5928	7732	7205	6997	6709	5972	5597
NCU00024	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2333317;2333317;2333504;2333504;2333852;2334485;2334485	2333445;2333445;2333632;2334301;2334301;2335871;2335871	+;+;+;+;+;+;+	2314	7792	8542	4248	4381	7093	4719	4120	8070	4448	7461	4225	6842
NCU00025	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2335819;2336535;2337527	2336460;2337430;2338115	-;-;-	2127	3196	3981	2741	3642	2335	3021	2756	3154	3006	3663	3320	4040
NCU00026	Supercontig_12.3	2338446	2340872	-	2427	685	668	731	931	596	787	842	766	831	787	695	649
NCU00027	Supercontig_12.3	2341059	2343300	+	2242	0	2	3	4	0	10	9	4	7	0	9	0
NCU00028	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2341215;2341315;2342056;2342227;2342227;2343204;2343204;2343508;2343508;2343838	2341988;2342148;2342148;2342988;2342988;2343258;2343258;2343860;2343603;2344025	-;-;-;-;-;-;-;-;-;-	2269	8	2	73	95	4	70	97	2	91	5	76	7
NCU00029	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2344043;2345859;2346073	2345775;2345989;2347010	-;-;-	2802	1478	1261	1754	1589	1834	1325	1098	1782	1282	1551	1569	1041
NCU00030	Supercontig_12.3	2347460	2349182	+	1723	467	482	477	739	546	626	902	722	695	647	922	535
NCU00031	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2349332;2349854;2350435	2349751;2350112;2350549	-;-;-	794	32	32	21	33	24	17	22	40	42	29	30	32
NCU00032	Supercontig_12.3	2351255	2354862	-	3608	614	576	336	511	575	385	417	681	581	690	458	672
NCU00033	Supercontig_12.3;Supercontig_12.3	2355176;2355433	2355374;2356222	+;+	989	72	48	53	61	52	88	103	56	100	114	112	93
NCU00034	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2356311;2356584;2356978	2356607;2357834;2357859	+;+;+	1549	958	901	1326	1778	1158	1404	1287	1105	1531	1273	1548	993
NCU00035	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2357727;2357727;2358409;2358409;2359537;2359537;2359646;2359646;2360146	2358304;2358304;2359447;2359447;2359577;2359577;2360336;2359970;2360336	-;-;-;-;-;-;-;-;-	2349	1966	2399	698	752	3084	732	789	2889	828	2885	769	2378
NCU00037	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2361684;2361684;2361829;2361829;2362427;2362427;2362598;2362598	2361768;2361768;2362039;2362345;2362542;2362542;2364743;2364743	+;+;+;+;+;+;+;+	2864	122	141	258	332	173	266	411	210	364	179	355	136
NCU00038	Supercontig_12.3;Supercontig_12.3	2365188;2365368	2365242;2366731	-;-	1419	217	190	177	191	270	188	172	304	218	271	232	200
NCU00039	Supercontig_12.3;Supercontig_12.3	2368758;2370122	2370049;2371313	-;-	2484	65	54	21	14	45	22	14	38	12	56	26	60
NCU00040	Supercontig_12.3;Supercontig_12.3	2373641;2377519	2377286;2377997	-;-	4125	2945	3827	1924	2574	4027	2624	2707	4874	2555	4440	2447	3537
NCU00041	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2379374;2379869;2380321	2379553;2380225;2381129	+;+;+	1346	9702	10755	7541	8859	11187	7783	7959	12146	8255	11804	7752	9511
NCU00042	Supercontig_12.3;Supercontig_12.3	2381418;2381920	2381678;2382910	+;+	1252	822	984	909	1170	1069	884	1026	1094	1161	924	1068	796
NCU00043	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2383779;2385062;2385153;2385533;2386038;2386524	2384972;2385090;2385452;2385934;2386375;2387486	-;-;-;-;-;-	3226	4223	4773	4416	5916	4852	4552	5233	5635	5113	5433	5921	4214
NCU00045	Supercontig_12.3;Supercontig_12.3	2392332;2393838	2393781;2396619	-;-	4232	112	169	148	202	166	224	260	198	221	156	228	151
NCU00046	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2398123;2398123;2401812;2401812;2403125	2401730;2401730;2402931;2402059;2403722	-;-;-;-;-	5326	2400	3223	897	1181	2414	1197	1307	2965	1195	2966	1086	3248
NCU00047	Supercontig_12.3;Supercontig_12.3	2402848;2403581	2403199;2403756	+;+	528	2	10	9	12	7	5	6	7	15	15	6	16
NCU00048	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2407638;2407759;2408317;2408485	2407652;2407855;2408400;2408633	+;+;+;+	345	3	8	3	5	5	16	9	5	23	9	10	17
NCU00050	Supercontig_12.3;Supercontig_12.3	2413211;2415322	2415217;2415726	-;-	2412	804	824	914	1233	890	897	1377	1018	1141	849	1119	621
NCU00051	Supercontig_12.3	2416517	2418227	+	1711	289	353	568	939	325	595	1280	457	1010	469	884	429
NCU00052	Supercontig_12.3;Supercontig_12.3	2418803;2420723	2420626;2421092	-;-	2194	28	26	40	101	24	52	87	18	74	38	87	24
NCU00054	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2447062;2447501;2447770;2448181;2448935;2449193	2447452;2447718;2448121;2448874;2449109;2449468	+;+;+;+;+;+	2106	75	84	163	202	119	132	125	118	192	150	214	84
NCU00055	Supercontig_12.3;Supercontig_12.3	2449482;2450834	2450767;2451411	-;-	1864	74	110	227	196	121	194	119	115	195	127	183	76
NCU00056	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2457498;2458144;2458925	2458069;2458866;2459330	+;+;+	1701	348	237	712	972	255	578	994	303	901	291	884	251
NCU00057	Supercontig_12.3;Supercontig_12.3	2459710;2460449	2460331;2461691	+;+	1865	4507	5331	3093	3562	5293	3390	3484	6057	3695	5054	3490	4111
NCU00059	Supercontig_12.3;Supercontig_12.3	2467237;2467917	2467858;2470146	+;+	2852	122	189	32	98	150	94	114	262	84	167	73	106
NCU00060	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2470058;2470058;2470058;2471636;2471636	2471535;2471543;2471847;2471847;2471847	-;-;-;-;-	1790	173	117	203	292	195	262	303	179	259	168	312	95
NCU00061	Supercontig_12.3	2473451	2475846	+	2396	44	90	439	546	72	346	472	75	524	87	504	80
NCU00064	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2482832;2484352;2485591;2486628;2487067	2484106;2485483;2486569;2487001;2488057	+;+;+;+;+	4751	1940	2469	1995	2535	2542	2361	2715	2855	2221	2893	2410	2633
NCU00065	Supercontig_12.3;Supercontig_12.3	2489138;2489581	2489493;2491469	+;+	2245	861	966	545	870	1197	690	903	1211	787	1028	732	805
NCU00066	Supercontig_12.3	2491431	2495036	-	3606	713	756	662	849	859	785	897	990	710	930	788	664
NCU00067	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2495156;2495538;2495746	2495430;2495618;2496385	+;+;+	996	5318	6012	5862	6397	5571	6076	5717	5936	6272	5665	5758	4197
NCU00068	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2496305;2496305;2500043;2500043;2500184;2500184	2499916;2499949;2500121;2500121;2500846;2500846	-;-;-;-;-;-	4387	1252	1384	1819	2641	1262	2622	2472	1308	2436	1363	2465	1338
NCU00069	Supercontig_12.3;Supercontig_12.3	2502573;2503246	2503079;2503595	+;+	857	49	73	331	349	63	318	278	94	279	69	301	72
NCU00070	Supercontig_12.3;Supercontig_12.3	2505040;2506089	2505710;2508881	-;-	3464	2599	3460	1166	1636	3326	1366	1448	3084	1509	3454	1406	3097
NCU00071	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2510018;2510231;2510424;2510567	2510144;2510329;2510477;2510856	-;-;-;-	570	2	0	0	1	2	0	0	0	0	0	0	0
NCU00072	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2513367;2514385;2514601	2514275;2514466;2515340	-;-;-	1731	490	426	700	917	369	712	816	465	766	494	674	373
NCU00073	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2515970;2517267;2517963	2517131;2517856;2518978	-;-;-	2768	2585	2740	1501	1918	3260	1711	2189	3250	1858	3519	1921	2865
NCU00074	Supercontig_12.3;Supercontig_12.3	2525373;2525916	2525802;2527032	+;+	1547	1842	2145	2075	2671	3016	2727	2160	2585	2404	2656	2440	1954
NCU00075	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2527139;2527591;2527999	2527401;2527718;2528751	+;+;+	1144	11293	12357	4736	5331	11861	6727	7003	13674	6287	11484	5222	9874
NCU00076	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2528710;2528710;2529233;2529233;2529713;2529713;2530508;2530515;2530623;2530623;2531260;2531260;2531587;2531587	2529168;2529168;2529637;2529637;2530456;2530456;2530567;2530567;2531078;2531078;2531502;2531502;2531908;2531908	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2689	300	309	684	848	286	615	759	408	835	308	810	215
NCU00077	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2531930;2532673;2533216;2533483;2533940;2534506;2534631	2532603;2533157;2533427;2533880;2534455;2534566;2535354	-;-;-;-;-;-;-	3070	214	175	578	677	193	496	656	330	615	325	675	179
NCU00078	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2535597;2535810;2535942;2536338	2535746;2535843;2536248;2538405	+;+;+;+	2559	558	373	3019	3244	468	2504	2703	551	2962	484	2960	341
NCU00079	Supercontig_12.3	2536487	2538432	-	1946	0	0	0	0	0	0	0	0	0	0	0	0
NCU00080	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2539273;2540222;2540572	2540161;2540510;2541148	-;-;-	1755	3609	2856	6254	6707	3366	6469	5885	3660	6256	3374	5702	2477
NCU00081	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2541342;2541869;2542148;2542389;2542607;2544034	2541808;2542066;2542326;2542558;2543937;2545070	+;+;+;+;+;+	3382	140	95	542	528	142	514	605	177	561	203	613	112
NCU00082	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2546344;2546563;2546942	2546405;2546800;2547259	-;-;-	618	23	30	35	71	17	31	67	22	56	17	43	20
NCU00083	Supercontig_12.3;Supercontig_12.3	2549334;2549956	2549478;2552226	+;+	2416	957	1447	812	1276	2133	1287	1402	1921	1253	1725	1275	1507
NCU00084	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2555144;2556554;2556857;2557660	2556411;2556700;2556955;2557918	-;-;-;-	1773	53	51	64	111	64	76	111	78	81	95	125	61
NCU00085	Supercontig_12.3	2558440	2562010	-	3571	291	334	227	276	351	259	250	404	257	335	286	337
NCU00086	Supercontig_12.3;Supercontig_12.3	2564756;2565536	2565433;2565909	+;+	1052	11	8	48	43	12	52	47	6	68	6	81	0
NCU00087	Supercontig_12.3	2566227	2567897	-	1671	432	408	852	1035	454	765	897	544	829	604	926	395
NCU00088	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2571142;2571774;2571926	2571698;2571864;2573004	+;+;+	1727	577	542	447	676	643	748	773	729	616	895	561	528
NCU00089	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2574646;2574646;2574646;2574646;2575433;2575433;2575433;2575433	2575362;2575263;2575221;2575129;2577796;2577796;2577796;2577796	+;+;+;+;+;+;+;+	3081	472	564	335	472	593	491	538	640	469	703	403	632
NCU00090	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2578245;2580229;2580585	2580108;2580529;2581438	-;-;-	3019	7711	9989	4723	6497	8940	6954	7929	10123	7022	9306	6981	7489
NCU00091	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2584099;2584260;2586219;2586219;2586376;2586376;2586961;2587662;2587662	2586164;2586164;2586311;2586311;2587599;2586891;2587599;2588592;2588622	-;-;-;-;-;-;-;-;-	4344	195	283	382	466	162	370	464	173	460	224	411	203
NCU00092	Supercontig_12.3;Supercontig_12.3	2588885;2589412	2589346;2590239	+;+	1290	186	198	134	99	248	196	196	257	177	299	120	164
NCU00093	Supercontig_12.3	2590726	2591472	+	747	11	44	57	46	28	36	40	36	51	28	32	35
NCU00095	Supercontig_12.3;Supercontig_12.3	2594535;2597673	2597621;2599205	+;+	4620	548	549	769	1155	644	961	936	804	988	757	1061	523
NCU00096	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2600265;2601281;2601460	2600522;2601304;2601941	+;+;+	764	31	11	58	44	31	25	63	13	36	24	27	26
NCU00097	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2605290;2605785;2606174	2605750;2606090;2606349	-;-;-	943	27	44	21	10	15	16	17	25	7	29	28	22
NCU00099	Supercontig_12.3;Supercontig_12.3	2612528;2612715	2612618;2612788	-;-	165	7	9	46	72	1	49	37	6	72	12	81	6
NCU00100	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2623609;2625284;2626647;2626742;2627118;2627303	2625230;2626586;2626676;2627052;2627219;2627539	-;-;-;-;-;-	3605	93	115	512	665	70	412	629	82	530	92	660	72
NCU00101	Supercontig_12.3;Supercontig_12.3	2628039;2628610	2628546;2630653	+;+	2552	31	22	468	513	35	300	503	34	498	44	495	20
NCU00102	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2630211;2631134;2631425;2632226	2631063;2631322;2632129;2632778	+;+;+;+	2300	253	282	737	785	333	639	590	443	715	365	710	329
NCU00103	Supercontig_12.3;Supercontig_12.3	2632691;2633702	2633603;2634374	-;-	1586	2784	3373	2055	2947	3591	2689	3683	4012	2950	3680	2941	2871
NCU00104	Supercontig_12.3	2634913	2638616	-	3704	31295	28401	70235	90857	29438	56849	102263	33184	78170	33151	92349	28545
NCU00105	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2640035;2640259;2640526;2640745;2640895	2640180;2640345;2640652;2640825;2641453	+;+;+;+;+	1000	1375	1665	471	502	1660	471	691	2018	477	1980	537	1558
